nome,id,Proteína,Carboidrato,Energia,Colesterol,Lipídeos,Fibra Alimentar,Vitamina C,Ferro,Cálcio,Sódio,Magnésio,Potássio,Manganês,Fósforo,Cobre,Zinco,Cinzas,Retinol,Tiamina,Riboflavina,Piridoxina,Niacina,RE,RAE,Umidade
"Carne, bovina, língua, cozida",0,100,21.40,0,315,105,24.80,0,0,2.10,6,59,12,175,0.01,136,0.08,4.10,0.70,0,0,0.08,0,1.83,0,0,53.4
"Carne, bovina, fígado, cru",1,100,20.70,1.10,141,393,5.40,0,0,5.60,4,76,12,265,0.26,334,9.01,3.50,1.50,7937,0.14,0.90,0,10.66,7937,7937,71.3
"Frango, sobrecoxa, com pele, crua",2,100,15.50,0,255.00,88,20.90,0,0,0.70,7.00,68,22,190,0.01,154,0.05,1.30,0.80,7.00,0.09,0.06,0,3.40,7.00,7.00,63.6
"Pão, trigo, forma, integral",3,100,9.40,49.90,253.00,0,3.70,6.90,0,3,132,506.00,60,163,1.62,193,0.15,1.60,2.30,0,0.08,0.04,0.15,0,0,0,34.7
"Batata, doce, cozida",4,100,0.60,18.40,77,0,0.10,2.20,23.80,0.20,17,3,11,148,0.14,15,0.06,0.10,0.40,0,0.08,0,0.05,2.57,0,0,80.4
"Quiabo, cru",5,100,1.90,6.40,30,0,0.30,4.60,5.60,0.40,112.00,1,50,249.00,0.46,56.00,0.17,0.60,0.80,0,0.10,0,0.03,0,49,49,90.6
"Graviola, crua",6,100,0.80,15.80,62,0,0.20,1.90,19.10,0.20,40,4,23,250,0.08,19,0.04,0.10,1,0,0.17,0.12,0.03,0,0,0,82.2
"Salmão, sem pele, fresco, cru",7,100,19.30,0,170,53,9.70,0,0,0.20,9,64,27,376,0,259,0.02,0.30,1.20,0,0.20,0.03,0,3.21,0,0,69.0
"Cajá, polpa, congelada",8,100,0.60,6.40,26,0,0.20,1.40,0,0.30,9,7.00,7.00,148,0.07,26,0.10,0.10,0.40,0,0.04,0,0,0,106,106,92.4
"Pão, de soja",9,100,11.30,56.50,309,0,3.60,5.70,0,3.30,90,663,48,296,0.57,153,0.16,1.50,2.50,0,0.07,0.04,0.79,0,0,0,26.0
"Polenta, pré-cozida",10,100,2.30,23.30,103,0,0.30,2.40,0,0,1,442,4,100,0,17,0.04,0.10,1.40,0,0.04,0,0,0,0,0,72.7
"Açaí, polpa, com xarope de guaraná e glucose",11,100,0.70,21.50,110.00,0,3.70,1.70,10.30,0.30,22,15,13,75,3.29,11,0.14,0.20,0.30,0,0,0,0.07,0,0,0,73.9
"Lasanha, massa fresca, cozida",12,100,5.80,32.50,164,0,1.20,1.60,0,1.20,10,207.00,4,54,0.20,42,0.07,0.40,0.90,0,0.04,0,0,3.96,0,0,59.6
"Arroz, tipo 1, cozido",13,100,2.50,28.10,128,0,0.20,1.60,0,0.10,4,1,2,15,0.30,18,0.02,0.50,0.10,0,0,0,0,0,0,0,69.1
"Queijo, ricota",14,100,12.60,3.80,140,49,8.10,0,0,0.10,253.00,283,12,112.00,0,162,0,0.50,1.90,53,0,0.15,0,0,0,0,73.6
"Cação, posta, crua",15,100,17.90,0,83,36,0.80,0,0,0.20,9,176,19,299,0.04,181,0.13,0.30,1.20,6,0.04,0,0,1.31,6,6,81.4
"Ovo, de galinha, inteiro, cru",16,100,13,1.60,143,356,8.90,0,0,1.60,42,168,13,150,0,164,0.06,1.10,0.80,79,0.07,0.58,0,0.75,0,0,75.6
"Pipoca, com óleo de soja, sem sal",17,100,9.90,70.30,448.00,0,15.90,14.30,0,1.20,3,4,91,256,0.65,225,0.46,2,1,0,0.03,0.03,0,0,0,0,2.8
"Feijão, fradinho, cru",18,100,20.20,61.20,339,0,2.40,23.60,0,5.10,78,10,178,1083,1.43,355,0.70,3.90,3.50,0,0.14,0.03,0.26,0,0,0,12.7
"Cuxá, molho",19,100,5.60,5.70,80,58.00,3.60,3,10.30,0.90,105,1344,34,124,0.23,111.00,0.17,0.60,4,0,0.04,0,0.03,1.10,33,33,81.0
"Ameixa, calda, enlatada",20,100,0.40,46.90,183,0,0,0.50,4.30,2.20,13,3,10,221,0.10,21,0.03,0.10,0.50,0,0,0.23,0.37,0,0,0,52.2
"Mamão, Formosa, cru",21,100,0.80,11.60,45,0,0.10,1.80,78.50,0.20,25,3,17,222.00,0.04,11,1.36,0.10,0.60,0,0.03,0.03,0,0,148,148,86.9
"Leite, de cabra",22,100,3.10,5.20,66,14.00,3.80,0,0,0.10,112.00,74,10,140,0,113.00,0.04,0.40,0.90,35,0,0.14,0,0,0,0,87.1
Glicose de milho,23,100,0,79.40,292,0,0,0,0,0.10,6,59,2,5,0,5,0,0,0.20,0,0,0,0,0,0,0,20.4
"Abobrinha, italiana, crua",24,100,1.10,4.30,19,0,0.10,1.40,6.90,0.20,15,0,20,253.00,0.09,32,0.05,0.20,0.60,0,0,0.06,0.03,0,41,41,93.9
"Frango, coração, cru",25,100,12.60,0,222.00,159,18.60,0,0,4.10,6,95,20,220.00,0.05,193,0.20,2,0.80,9,0.23,0.35,0,3.39,9,9,69.1
"Pimentão, verde, cru",26,100,1.10,4.90,21,0,0.20,2.60,100.20,0.40,9,0,8,174,0.14,17,0.07,0.10,0.40,0,0,0,0,0,46,46,93.5
"Maracujá, polpa, congelada",27,100,0.80,9.60,39,0,0.20,0.50,7.30,0.30,5,8,10,228.00,0.07,15,0.05,0.20,0.50,0,0,0.09,0.06,0,0,0,88.9
"Pastel, de queijo, cru",28,100,9.90,45.90,308,14.00,9.60,1.10,0,1,155,985,16,103,0.24,168,0.10,1,3.30,0,0.07,0.03,0,0,0,0,31.3
"Porco, bisteca, crua",29,100,21.50,0,164,56.00,8,0,0,0.50,6,54,24,335,0,195,0.07,1.40,1,0,0.90,0,0,2.65,0,0,67.7
"Catalonha, crua",30,100,1.90,4.80,24,0,0.30,2,7.30,3.10,57.00,9,17,412,0.34,32,0.27,0.50,1.30,0,0,0.03,0.36,1.54,0,0,91.8
"Rúcula, crua",31,100,1.80,2.20,13,0,0.10,1.70,46.30,0.90,117,9,18,233,0.24,25,0.04,0.20,1.10,0,0.04,0,0,0.35,533,533,94.8
"Feijão, rajado, cru",32,100,17.30,62.90,326,0,1.20,24,0,18.60,111.00,14.00,170,1135,1.17,335,0.84,2.60,3.70,0,0.07,0.03,0.07,0,0,0,15.0
"Queijo, petit suisse, morango",33,100,5.80,18.50,121,12,2.80,0,0,0.10,731,412,27,121,0.02,448.00,0.01,2.70,0.70,273,0.22,0.27,0.21,2.68,0,0,72.2
"Pitanga, polpa, congelada",34,100,0.30,4.80,19,0,0.10,0.70,0,0.40,8,5,6,87,0.05,12,0.06,0.10,0.30,0,0,0,0,0,146,146,94.6
"Pêra, Williams, crua",35,100,0.60,14.00,53,0,0.10,3,2.80,0.10,8,0,6,116.00,0.04,12,0.07,0.10,0.30,0,0,0,0,0,0,0,85.0
"Carne, bovina, filé mingnon, sem gordura, grelhado",36,100,32.80,0,220.00,103,8.80,0,0,2.90,4,58.00,28.00,326,0.02,308,0.14,4.10,1.30,0,0.03,0.08,0.05,4.27,0,0,57.0
"Mingau tradicional, pó",37,100,0.60,89.30,373,0,0.40,0.90,0,42,522,15,4,0,0,273,0,15.20,1.60,1533,3.41,0,3.11,19.39,0,0,8.1
"Biscoito, doce, maisena",38,100,8.10,75.20,443,0,12,2.10,6.20,1.80,54,352,37,142,0.78,166,0.17,1,1.50,0,1.01,0.42,0.23,3.91,0,0,3.2
"Seleta de legumes, enlatada",39,100,3.40,12.70,57.00,0,0.40,3.10,0,1.10,16,398,16,122,0.13,49,0.08,0.50,1.40,0,0.03,0,0,3.72,244,244,82.1
"Quibe, assado",40,100,14.60,12.90,136,34,2.70,1.90,0,2.20,16,40,36,288,0.76,174,0.51,4.10,0.90,0,0.04,0.04,0,1.81,0,0,69.0
"Alface, crespa, crua",41,100,1.30,1.70,11,0,0.20,1.80,15.60,0.40,38,3,11,267,0.20,26,0.03,0.30,0.70,0,0.11,0.12,0,1.09,234,234,96.1
Marmelada,42,100,0.40,70.80,257,0,0.10,4.10,0,0.70,11,11,6,83,0.06,20,0.09,0.10,0.20,0,0,0,0,0,0,0,28.5
"Repolho, roxo, refogado",43,100,1.80,7.60,42,0,1.20,1.80,40.50,0.50,43,3,17,321,0.26,59,0.02,0.30,0.70,0,0.07,0,0.07,0.63,0,0,88.7
"Carne, bovina, charque, cru",44,100,22.70,0,249.00,81,16.80,0,0,1.50,15,5875,13,236,0,122,0.03,3.90,14.50,0,0.12,0.07,0,1.63,0,0,44.5
"Carne, bovina, capa de contra-filé, com gordura, crua",45,100,19.20,0,217,63,15,0,0,1.50,6,58.00,17,267,0.01,144,0.06,3.50,0.90,4,0.09,0.09,0.12,1.55,4,4,64.8
"Porco, pernil, cru",46,100,20.10,0,186,59,11.10,0,0,0.90,13,102,23,256,0,192,0.16,1.70,1,0,1.06,0.06,0,5.67,0,0,67.1
"Carne, bovina, paleta, sem gordura, cozida",47,100,29.70,0,194,56.00,7.40,0,0,2.20,6,58.00,18,250,0,197,0.10,6.80,0.80,0,0.03,0.04,0,2.16,0,0,62.9
"Abobrinha, italiana, cozida",48,100,1.10,3,15,0,0.20,1.60,2.10,0.20,17,1,17,126,0.11,22,0.01,0.30,0.40,0,0.05,0,0.06,0,0,0,95.3
"Carne, bovina, contra-filé de costela, grelhado",49,100,29.90,0,275,98,16.30,0,0,2.80,4,51,24,383,0.01,252,0.08,6.70,1.20,0,0,0.19,0.17,2.75,0,0,52.2
"Margarina, com óleo interesterificado, com sal (65%de lipídeos)",50,100,0,0,594,0,67.20,0,0,0,5,561,1,15,0,6,0,0,1.20,385,0,0,0,0,0,0,32.0
"Ovo, de galinha, inteiro, frito",51,100,15.60,1.20,240,516,18.60,0,0,2.10,73,166,16,184,0.03,422,0.04,1.50,1.10,94,0.06,0.32,0,0,0,0,63.5
Tempero a base de sal,52,100,2.70,2.10,21,0,0.30,0.60,0,0,0,32560.00,0,0,0,0,0,0,87.30,0,0,0,0,0,0,0,7.7
"Pão, de queijo, assado",53,100,5.10,34.20,363,68,24.60,0.60,0,0.30,102,773,8,93,0.03,94,0.01,0.60,2.30,61,0.04,0.10,0.04,0,0,0,33.7
"Brócolis, cozido",54,100,2.10,4.40,25,0,0.50,3.40,42,0.50,51,2,15,119,0.12,33,0.08,0.20,0.40,0,0.04,0.03,0,0,0,0,92.6
Virado à paulista,55,100,10.20,14.10,307,66,25.60,2.20,0,1.10,41,346,22,237,0.15,135,0.07,1,1.50,10,0.14,0.05,0,2.60,0,0,48.6
"Óleo, de pequi",56,100,0,0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Couve-flor, crua",57,100,1.90,4.50,23,0,0.20,2.40,36.10,0.50,18,3,12,256,0.16,57.00,0.03,0.30,0.60,0,0.03,0.09,0.10,0,2,2,92.8
"Carne, bovina, capa de contra-filé, sem gordura, crua",58,100,21.50,0,131,58.00,4.30,0,0,2,6,79,20,325,0,178,0.06,4.60,1,0,0,0.04,0,1.81,0,0,73.0
"Merluza, filé, cru",59,100,16.60,0,89,57.00,2,0,0,0.20,20,80,27,340,0.01,185,0,0.30,1.10,0,0,0,0,1.34,0,0,82.1
"Repolho, roxo, cru",60,100,1.90,7.20,31,0,0.10,2,43.20,0.50,44,2,18,328,0.25,58.00,0.90,0.30,0.70,0,0.07,0,0.09,0,0,0,90.1
"Canjica, branca, crua",61,100,7.20,78.10,358,0,1,5.50,0,0.30,2,1,12,93,0.09,48,0.05,0.40,0.20,0,0,0,0,0,0,0,13.6
"Carne, bovina, cupim, assado",62,100,28.60,0,330,91,23,0,0,2.70,8,72,18,321,0,212,0.08,5.30,1,0,0,0.08,0.14,2.16,0,0,48.4
"Farinha, de mesocarpo de babaçu, crua",63,100,1.40,79.20,329,0,0.20,17.90,0,18.30,61,12,39,362,0.38,26,0.22,0.30,3.40,0,0,0,0,2.58,0,0,15.8
"Alfavaca, crua",64,100,2.70,5.20,29.00,0,0.50,4.10,0,1.30,258,5,84,261,0.15,50,0.15,0.70,1.40,0,0,0.12,0.56,0,0,0,90.2
"Cuscuz, paulista",65,100,2.60,22.50,142,15,4.60,2.40,0,0.30,14.00,236,5,53,0.06,26,0.05,0.20,1.30,0,0,0,0,0.93,0,0,68.9
"Carne, bovina, cupim, cru",66,100,19.50,0,221,51,15.30,0,0,1.10,4,47,13,151,0,220.00,0.03,2.40,0.90,3,0.11,0.05,0.03,3.33,3,3,64.8
"Pé-de-moleque, amendoim",67,100,13.20,54.70,503,0,28.00,3.40,0,1.30,27,16,108,355,1.09,171,0.43,1.40,1.10,0,0.04,0.03,0.11,5.94,0,0,2.9
"Frango, fígado, cru",68,100,17.60,0,106,341,3.50,0,0,9.50,6,82,28.00,281,0.35,344,0.26,3.70,1.20,3863.00,0.62,0.56,0,6.36,3863.00,3863.00,77.8
"Cereais, milho, flocos, sem sal",69,100,6.90,80.40,363,0,1.20,1.80,0,1.70,2,31,17,29.00,0,58.00,0.24,0.30,0.30,0,0.05,0,0.04,0,0,0,11.2
"Jiló, cru",70,100,1.40,6.20,27,0,0.20,4.80,6.80,0.30,20,0,21,213,0.14,29.00,0.07,0.10,0.60,0,0.07,0.04,0,0,13,13,91.6
Quibebe,71,100,8.60,6.60,86,0,2.70,1.70,0,0.80,8,247.00,10,153,0.05,43,0.61,1.60,1,0,0,0.03,0.04,0,105,105,81.1
"Carne, bovina, fígado, grelhado",72,100,29.90,4.20,225,601,9,0,0,5.80,6,82,10,309,0.22,420,12.58,4,2,14574,0.21,2.69,0,11.92,14574,14574,55.0
"Farinha, láctea, de cereais",73,100,11.90,77.80,415.00,11,5.80,1.90,24.30,8.70,196,125,58.00,366,1.49,296,0.19,1.70,1.90,492,1.43,1.13,1.14,9.50,0,0,2.7
"Caju, suco concentrado, envasado",74,100,0.40,10.70,45,0,0.20,0.60,138.70,0.10,1,45,8,107,0.06,11,0.04,0.10,0.30,0,0,0.03,0,0,10,10,88.4
"Biscoito, doce, wafer, recheado de chocolate",75,100,5.60,67.50,502.00,0,24.70,1.80,0,2.40,23,137,48,240,0.44,124,0.26,0.90,1.10,0,0.37,0.03,0.30,1.12,0,0,1.2
"Frango, peito, sem pele, cozido",76,100,31.50,0,163,89,3.20,0,0,0.30,6,36,14.00,231,0,224.00,0.02,0.90,1,0,0.10,0,0,7.60,0,0,65.6
"Acelga, crua",77,100,1.40,4.60,21,0,0.10,1.10,22.60,0.30,43,1,10,240,0.11,40,0.10,0.30,0.60,0,0.04,0,0.16,0,0,0,93.2
"Noz, crua",78,100,14.00,18.40,620,0,59.40,7.20,0,2,105,5,153,533,4.05,396,0.75,2.10,2.10,0,0.38,0,0.13,1.08,0,0,6.2
"Polvilho, doce",79,100,0.40,86.80,351,0,0,0.20,0,0.50,27,2,4,38,0.09,8,0,0,0.20,0,0,0,0,0,0,0,12.6
"Pepino, cru",80,100,0.90,2,10,0,0,1.10,5,0.10,10,0,9,154,0.08,12,0.04,0.10,0.30,0,0,0.03,0,0,4,4,96.8
"Feijão, fradinho, cozido",81,100,5.10,13.50,78,0,0.60,7.50,0,1.10,17,1,38,253.00,0.53,85,0.10,1.10,0.80,0,0.12,0,0,0,0,0,80.0
"Abadejo, filé, congelado,cozido",82,100,19.30,0,91,87,0.90,0,0,0.30,17,189,16,146,0,351,0.03,0.40,0.90,0,0,0,0,0,0,0,79.7
"Pimentão, amarelo, cru",83,100,1.20,6,28.00,0,0.40,1.90,201.40,0.40,10,0,11,221,0.08,22,0.04,0.20,0.50,0,0.04,0.03,0.06,0,40,40,91.9
"Azeite, de dendê",84,100,0,0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carne, bovina, fraldinha, com gordura, cozida",85,100,24.20,0,338,65,26,0,0,2,3,39,14.00,207.00,0,161,0.07,6.50,0.70,0,0,0.05,0.07,1.61,0,0,49.7
"Carne, bovina, músculo, sem gordura, cru",86,100,21.60,0,142,51,5.50,0,0,1.90,4,66,17,296,0,162,0.05,3.70,1,2,0.09,0.19,0.04,2.79,2,2,72.4
"Arroz, integral, cru",87,100,7.30,77.50,360,0,1.90,4.80,0,0.90,8,2,110.00,173,2.99,251.00,0.07,1.40,1.20,0,0.26,0,0.18,4.18,0,0,12.2
"Cação, posta, com farinha de trigo, frita",88,100,25,3.10,208,75,10,0.50,0,1,30,160,26,420,0.06,462,0,0.60,1.40,17,0,0,0,0.77,17,17,60.6
"Batata, baroa, crua",89,100,1,24,101,0,0.20,2.10,7.60,0.30,17,0,12,505,0.07,45,0.05,0.20,1.10,0,0.05,0,0.12,0,25,25,73.7
"Cereal matinal, milho, açúcar",90,100,4.70,88.80,377,0,0.70,2.10,14.60,3.90,56.00,405,8,52,0.13,43,0.04,8.50,1.50,0,0.73,1.11,0.79,10.13,31,31,4.3
"Couve, manteiga, refogada",91,100,1.70,8.70,90,0,6.60,5.70,76.90,0.50,177,11,26,315,0.12,33,0.02,0.20,1.50,0,0,0.05,0.07,0,384,384,81.5
Tacacá,92,100,7.00,3.40,47,71,0.40,0.20,0,0.90,45,1349,30,240,0.12,89,0.22,0.80,4.10,0,0.05,0,0,0,35,35,85.2
"Carne, bovina, picanha, sem gordura, grelhada",93,100,31.90,0,238,100,11.30,0,0,3.60,4,61,25,377,0.02,282,0.17,6.70,1.20,0,0,0.08,0.03,1.82,0,0,54.6
"Maionese, tradicional com ovos",94,100,0.60,7.90,302,42,30.50,0,0,0.10,3,787,1,16,0,14.00,0,0.10,2.60,8,0,0.05,0,0,0,0,58.4
"Óleo, de canola",95,100,0,0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Merluza, filé, assado",96,100,26.60,0,122,91,0.90,0,0,0.40,36,120,20,364,0.03,273,0.03,0.90,1.20,0,0.05,0,0,7.97,0,0,70.7
"Maracujá, cru",97,100,2,12.30,68,0,2.10,1.10,19.80,0.60,5,2,28.00,338,0.12,51,0.19,0.40,0.80,0,0,0.05,0.05,0,114.00,114.00,82.9
"Pescada, branca, frita",98,100,27.40,0,223,165,11.80,0,0,0.50,378,107,30,355,0.06,504,0.08,1.10,3.20,39,0.08,0.11,0,8.07,39,39,57.0
"Laranja, pêra, crua",99,100,1,8.90,37,0,0.10,0.80,53.70,0.10,22,0,9,163,0.05,23,0.03,0.10,0.30,0,0.07,0.02,0.02,0,1,1,89.6
"Feijão, roxo, cozido",100,100,5.70,12.90,77,0,0.50,11.50,0,1.40,23,1,34,268,0.32,106,0.22,1,0.80,0,0.15,0,0.03,0,0,0,80.0
"Baião de dois, arroz e feijão-de-corda",101,100,6.20,20.40,136,4,3.20,5.10,0,0.60,33,93,19,157,0.27,72,0.08,0.60,1.10,0,0.04,0,0.04,0,0,0,69.1
"Figo, enlatado, em calda",102,100,0.60,50.30,184,0,0.20,2,5.20,0.50,33,7.00,7.00,39,0.16,6,0.25,0.10,0.20,0,0,0,0,0,0,0,48.8
"Jabuticaba, crua",103,100,0.60,15.30,58.00,0,0.10,2.30,16.20,0.10,8,0,18,130,0.30,15,0.07,0.30,0.40,0,0.06,0,0,0,0,0,83.6
"Pintado, assado",104,100,36.50,0,192,126,4,0,0,0.80,114.00,81,42,527,0.08,332,0.04,2.10,2,7.00,0.03,0,0,6.63,7.00,7.00,57.0
"Pastel, massa, crua",105,100,6.90,57.40,310,0,5.50,1.40,0,1.10,13,1344,14.00,167,0.38,73,0.11,0.60,3.20,0,0.15,0,0,0,0,0,27.1
"Castanha-do-Brasil, crua",106,100,14.50,15.10,643,0,63.50,7.90,0,2.30,146,1,365,651,1.10,853.00,1.79,4.20,3.40,0,0.30,0,0.44,0,0,0,3.5
"Mandioca, frita",107,100,1.40,50.30,300,0,11.20,1.90,0,0.30,23,9,95,176,0.18,57.00,0.12,0.40,0.60,0,0.05,0,0.04,0,0,0,36.6
"Goiaba, vermelha, com casca, crua",108,100,1.10,13,54,0,0.40,6.20,80.60,0.20,4,0,7.00,198,0.09,15,0.04,0.10,0.50,0,0,0,0.03,0,38,38,85.0
"Morango, cru",109,100,0.90,6.80,30,0,0.30,1.70,63.60,0.30,11,0,10,184,0.33,22,0.06,0.20,0.50,0,0,0.03,0.03,0,0,0,91.5
"Porco, costela, assada",110,100,30.20,0,402.00,113.00,30.30,0,0,1,17,63,14.00,246,0,201.00,0.07,3.10,1.40,0,0.71,0.05,0,10.63,0,0,36.9
"Banana, doce em barra",111,100,2.20,75.70,280,0,0.10,3.80,0,0.60,12,10,49,518,0.84,37,0.16,0.30,1,0,0.03,0,0.06,1.41,27,27,21.1
"Pastel, de carne, frito",112,100,10.10,43.80,388,25,20.10,1,0,2.50,13,1040,14.00,156,0.22,90,0.12,1.20,3.10,0,0.06,0.05,0,1.83,0,0,22.9
"Farinha, de arroz, enriquecida",113,100,1.30,85.50,363,0,0.30,0.60,173.60,31.40,1,17,4,13,0.04,36,0,8.50,0.20,0,3.23,0,3.47,24.42,0,0,12.7
"Carne, bovina, lagarto, cru",114,100,20.50,0,135,56.00,5.20,0,0,1.30,3,54,20,362,0,185,0.05,2.40,1.10,2,0.10,0.14,0.03,2.19,2,2,71.0
"Guandu, cru",115,100,19,64,344,0,2.10,21.30,1.50,1.90,129,2,166,1215,1.02,269,0.57,2,3.50,0,1.06,0,0.07,2.69,0,0,11.4
"Biscoito, doce, recheado com chocolate",116,100,6.40,70.50,472,0,19.60,3,3.50,2.30,27,239,48,232.00,0.59,139,0.27,1,1.30,0,0.32,0.39,0.46,2.52,0,0,2.2
"Mexerica, Murcote, crua",117,100,0.90,14.90,58.00,0,0.10,3.10,21.80,0.10,33,1,12,159,0.05,19,0.06,0.10,0.50,0,0.08,0.07,0.05,0,0,0,83.7
"Frango, peito, sem pele, grelhado",118,100,32,0,159,89,2.50,0,0,0.30,5,50,18,387,0,295,0.02,0.80,1.40,0,0.11,0,0,24.83,0,0,63.8
"Frango, inteiro, sem pele, cozido",119,100,25,0,170,99,7.10,0,0,0.50,8,51,12,217,0,194,0.04,1.20,0.90,0,0.10,0,0,12.83,0,0,67.5
"Frango, sobrecoxa, sem pele, crua",120,100,17.60,0,162,84,9.60,0,0,0.90,6,80,26,241,0.02,187,0.06,1.70,0.90,4,0.12,0.06,0,4.06,4,4,72.7
"Queijo, minas, meia cura",121,100,21.20,3.60,321,76,24.60,0,0,0.20,696,501,27,120,0.02,403,0.07,2.70,3.50,111.00,0.03,0.32,0,0,0,0,47.1
"Refrigerante, tipo água tônica",122,100,0,8,31,0,0,0,0,0,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,92.0
"Salpicão, de frango",123,100,13.90,4.60,148,53,7.80,0.40,9.30,0.30,9,248,13,149,0.03,103,0.08,0.40,1.10,0,0.05,0,0,1.48,15,15,72.5
"Carne, bovina, peito, sem gordura, cru",124,100,17.60,0,259,59,20.40,0,0,1.30,4,64,15,241,0,124,0.06,2.60,0.90,4,0.11,0.07,0.03,3.91,4,4,61.5
"Corimbatá, assado",125,100,19.90,0,261,80,19.60,0,0,1,22,40,24,326,0.01,221,0.03,0.70,1,0,0.13,0.06,0,2.70,0,0,59.9
"Carne, bovina, contra-filé, com gordura, cru",126,100,21.20,0,206,73,12.80,0,0,1.30,4,44,18,285,0.01,164,0.04,2.80,0.90,4,0.11,0.08,0.03,3.79,4,4,65.7
Maria mole,127,100,3.80,73.60,301,0,0.20,0.70,0,0.40,13,15,7.00,24,0.06,4,0.20,0.10,0.90,0,0.04,0,0,0,0,0,21.6
Arroz carreteiro,128,100,10.80,11.60,154,36,7.10,1.50,0,1,13,1622,9,87,0.18,48,0.08,2.70,2.40,0,0.03,0,0.07,1.60,0,0,68.0
"Almeirão, refogado",129,100,1.70,5.70,65,0,4.80,3.40,1.50,1.60,63,15,17,315,0.28,31,0.06,0.20,1.20,0,0.03,0.06,0.05,4.03,0,0,86.5
"Creme de milho, pó",130,100,4.80,86.10,333,0,1.60,3.70,96.30,4.30,323,594,30,166,0.20,303,0.04,0.80,1.70,0,0.74,0,2.05,0,0,0,5.7
"Palmito, pupunha, em conserva",131,100,2.50,5.50,29.00,0,0.50,2.60,8.70,0.20,32,563,25,206,0.14,55.00,0.08,0.40,2.10,0,0.03,0,0,0,0,0,89.4
"Frango, coxa, com pele, crua",132,100,17.10,0,161,97,9.80,0,0,0.70,8,95,26,275,0.02,185,0.03,2,0.80,10,0.16,0.05,0,2.04,10,10,72.9
"Tomate, salada",133,100,0.80,5.10,21,0,0,2.30,12.80,0.30,7.00,5,10,161,0.04,23,0.07,0.20,0.40,0,0.06,0.04,0.05,0,0,0,93.6
"Pão, milho, forma",134,100,8.30,56.40,292,6,3.10,4.30,0,3,78,507,29.00,89,0.37,110.00,0.10,0.80,1.80,0,0.08,0,0.08,0,0,0,30.4
"Óleo, de girassol",135,100,0,0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaca atolada,136,100,5.10,10.10,145,19,9.30,2.30,0,0.70,63,26,16,220.00,0.04,72,0.12,1.20,0.50,0,0,0,0,0.77,0,0,75.0
"Pão, trigo, sovado",137,100,8.40,61.50,311,17,2.80,2.40,0,2.30,52,431.00,22,91,0.31,101,0,2.70,1.50,0,0.08,0.04,0.15,0,0,0,25.8
"Gelatina, sabores variados, pó",138,100,8.90,89.20,380,0,0,0,40,0.30,27,235,2,7.00,0.03,2,0,0,0.60,0,0,0,0,0,0,0,1.2
"Carne, bovina, capa de contra-filé, sem gordura, grelhada",139,100,35.10,0,239,80,10,0,0,2.80,9,83,26,385,0.01,287,0.12,7.60,1.30,0,0.03,0.08,0,1.86,0,0,53.7
"Alface, roxa, crua",140,100,0.90,2.50,13,0,0.20,2,13.50,2.50,34,7.00,9,308,0.12,51,0.04,0.20,0.70,0,0,0,0,0,312,312,95.7
"Caqui, chocolate, cru",141,100,0.40,19.30,71,0,0.10,6.50,29.60,0.10,18,2,9,164,0.39,18,0,0.20,0.50,0,0,0,0.03,0,0,0,79.7
"Empada, de frango, pré-cozida",142,100,7.30,35.50,377,23,22.90,2.20,0,0.70,14.00,771,17,156,0.25,78,0.09,0.50,2.20,0,0.11,0,0.03,0,0,0,32.0
