nome,id,Proteína,Carboidrato,Energia,Colesterol,Lipídeos,Fibra Alimentar,Vitamina C,Ferro,Cálcio,Sódio,Magnésio,Potássio,Manganês,Fósforo,Cobre,Zinco,Cinzas,Retinol,Tiamina,Riboflavina,Piridoxina,Niacina,RE,RAE,Umidade
"Cará, cozido",143,100,1.50,18.90,78,0,0.10,2.60,0,0.30,5,1,15,203.00,0.02,28.00,0.11,0.20,0.60,0,0.12,0,0.12,0,0,0,78.9
Cocada branca,144,100,1.10,81.40,449,0,13.60,3.60,0,1.20,7.00,29.00,17,183,0.36,396,0.20,0.40,0.50,0,0,0,0.16,0.47,0,0,3.4
"Abóbora, moranga, refogada",145,100,0.40,6,29.00,0,0.80,1.50,6.70,0.10,19,3,7.00,183,0.02,12,0.04,0.10,0.40,0,0.05,0,0.05,0,95,95,92.5
"Porco, pernil, assado",146,100,32.10,0,262,110.00,13.90,0,0,1.30,18,62,27,395,0.01,247.00,0.09,3.30,1.40,0,0.77,0.09,0,6.57,0,0,49.3
"Banana, figo, crua",147,100,1.10,27.80,105,0,0.10,2.80,17.50,0.20,6,0,30,387,0.21,16,0.06,0.10,0.80,0,0.09,0,0.03,0,0,0,70.1
"Carne, bovina, flanco, sem gordura, cru",148,100,20,0,141,50,6.20,0,0,1.60,3,54,18,324,0,167,0.05,4.50,1,2,0.11,0.16,0,3.28,2,2,72.1
"Carne, bovina, patinho, sem gordura, cru",149,100,21.70,0,133,56.00,4.50,0,0,1.80,3,49,20,318,0.01,170,0.05,4.50,1,2,0.11,0.08,0,3.61,2,2,72.9
"Abobrinha, paulista, crua",150,100,0.60,7.90,31,0,0.10,2.60,17.50,0.20,19,1,9,213,0.11,33,0.10,0.20,0.50,0,0,0,0.03,0,0,0,90.9
"Merluza, filé, frito",151,100,26.90,0,192,109.00,8.50,0,0,0.40,36,90,38,447,0.02,279,0.03,0.60,1.50,0,0.05,0,0,0.77,0,0,63.5
Dobradinha,152,100,19.80,0,125,144,4.40,0,0,1,11,29.00,8,58.00,0.11,57.00,0.06,2.70,0.30,0,0,0,0,4.27,0,0,75.3
"Frango, filé, à milanesa",153,100,28.50,7.50,221,84,7.80,1.10,0,1.10,9,122,35,408,0.06,249.00,0.05,0.80,1.30,7.00,0.05,0.04,0.52,11.07,7.00,7.00,54.9
"Mamão, Papaia, cru",154,100,0.50,10.40,40,0,0.10,1,82.20,0.20,22,2,22,126,0.01,11,0.02,0.10,0.40,0,0.03,0.04,0,1.03,118,118,88.6
"Tomate, molho industrializado",155,100,1.40,7.70,38,0,0.90,3.10,2.70,1.60,12,418,17,388,0.08,27,0.08,0.10,1.90,0,0,0,0.06,0,76,76,88.1
"Jaca, crua",156,100,1.40,22.50,88,0,0.30,2.40,14.80,0.40,11,2,40,234,0.48,14.00,0.09,0.20,0.80,0,0.10,0.04,0.05,0,0,0,75.1
"Leite, condensado",157,100,7.70,57.00,313,28.00,6.70,0,2.10,0.10,246,94,22,329,0,187,0.03,0.90,1.60,53,0.06,0.33,0.57,0,0,0,27.0
"Lambari, congelado, frito",158,100,28.40,0,327,246,22.80,0,0,0.80,1881.00,65,66,331,0.34,1067,0.31,5.60,6.20,9,0.25,0.03,0.04,8.93,9,9,40.1
"Coentro, folhas desidratadas",159,100,20.90,48,309,0,10.40,37.30,40.80,81.40,784,18,393,3223.00,10.48,388,4.09,4.70,10.20,0,0.10,0.11,0.09,0,0,0,10.6
"Pintado, cru",160,100,18.60,0,91,50,1.30,0,0,0.20,12,43,24,294,0.01,174,0.03,0.40,1.10,0,0,0,0,4.95,0,0,80.3
"Achocolatado, pó",161,100,4.20,91.20,401,0,2.20,3.90,0,5.40,44,65,77,496,0.55,200,0.56,1,1.40,796,1.38,1.02,1.52,4.99,0,0,1.1
"Atemóia, crua",162,100,1,25.30,97,0,0.30,2.10,10.10,0.20,23,1,25,300,0.16,23,0.17,0.20,0.70,0,0.09,0.07,0.07,1.58,0,0,72.7
"Carne, bovina, contra-filé de costela, cru",163,100,19.80,0,202,52,13.10,0,0,1.60,3,39,14.00,245.00,0,164,0.04,4.40,1,3,0.14,0.08,0,2.68,3,3,66.4
"Limão, tahiti, cru",164,100,0.90,11.10,32,0,0.10,1.20,38.20,0.20,51,1,10,128,0.07,24,0.06,0.20,0.40,0,0.30,0.04,0,0,0,0,87.4
"Mamão verde, doce em calda, drenado",165,100,0.30,57.60,209,0,0.10,1.20,0,0.20,12,5,5,9,0.04,3,0.02,0,0.10,0,0,0,0,0,0,0,41.9
"Carne, bovina, contra-filé, sem gordura, cru",166,100,24,0,157,59,6,0,0,1.70,4,53,21,335,0,184,0.05,3.20,1,0,0,0.20,0,4.64,0,0,69.1
"Couve-flor, cozida",167,100,1.20,3.90,19,0,0.30,2.10,23.70,0.10,16,2,5,80,0.10,25,0,0.30,0.30,0,0.04,0,0,0,0,0,94.3
"Pão, glúten, forma",168,100,12,44.10,253.00,0,2.70,2.50,0,5.70,156,22,24,65,0.51,105,0.06,1.30,0.50,0,0.04,0.03,0,0,0,0,40.7
"Mamão, doce em calda, drenado",169,100,0.20,54,196,0,0.10,1.30,3.90,0.10,20,3,6,68,0.02,4,0.02,0.10,0.20,0,0.03,0,0,0,0,0,45.5
"Tangerina, Poncã, crua",170,100,0.80,9.60,38,0,0.10,0.90,48.80,0.10,13,0,8,131,0.04,12,0.03,0,0.30,0,0.06,0.02,0.02,0,47,47,89.2
"Toucinho, cru",171,100,11.50,0,593,73,60.30,0,0,0.40,2,50,4,58.00,0,35,0.11,0.20,0.30,0,0,0,0,5.10,0,0,27.6
"Feijão, jalo, cozido",172,100,6.10,16.50,93,0,0.50,13.90,0,1.90,29.00,1,44,348,0.32,121,0.24,1,1,0,0.13,0,0.04,0,0,0,75.8
"Açaí, polpa, congelada",173,100,0.80,6.20,58.00,0,3.90,2.60,0,0.40,35,5,17,124,6.16,16,0.18,0.30,0.30,0,0,0.04,0.07,0,0,0,88.7
"Umbu, cru",174,100,0.80,9.40,37,0,0,2,24.10,0.10,12,0,11,152,0.03,13,0.04,0.40,0.50,0,0.05,0.06,0.03,0,0,0,89.3
"Cerveja, pilsen 2",175,100,0.60,3.30,41,0,0,0,0,0,5,4,7.00,29.00,0.01,19,0,0,0.10,0,0,0,0.14,2.92,0,0,92.4
"Chuchu, cozido",176,100,0.40,4.80,19,0,0,1,5.60,0.10,8,2,7.00,54,0.07,13,0,0.10,0.20,0,0.03,0,0,0,0,0,94.6
"Hambúrguer, bovino, frito",177,100,20,6.30,258,49,17,0,0,3,62,1252,60,660,0.52,324,0.17,3.20,4.20,0,0.13,0.06,0,2.73,0,0,52.5
"Sardinha, conserva em óleo",178,100,15.90,0,285,73,24,0,0,3.50,550,666,35,367,0.11,496,0.03,1.60,2.90,0,0.42,0.04,0,6.55,0,0,55.1
"Feijão, rajado, cozido",179,100,5.50,15.30,85,0,0.40,9.30,0,1.40,29.00,1,42,315,0.29,113.00,0.23,0.90,0.90,0,0.09,0,0.04,0,0,0,77.9
"Banana, prata, crua",180,100,1.30,26,98,0,0.10,2,21.60,0.40,8,0,26,358,0.42,22,0.05,0.10,0.80,0,0,0.02,0.10,0,32,32,71.9
"Pescada, filé, com farinha de trigo, frito",181,100,21.40,5,283,73,19.10,0,0,0.90,26,91,28.00,216,0.07,216,0.03,0.40,1.20,18,0,0.03,0,0.60,18,18,53.2
"Lingüiça, frango, grelhada",182,100,18.20,0,244,80,18.40,0,0,0.70,14.00,1351,21,356,0.10,228.00,0.09,1,3.80,0,0.12,0.04,0,5.97,0,0,58.6
"Ervilha, em vagem",183,100,7.50,14.20,88,0,0.50,9.70,12.40,1.40,24,0,42,311,0.40,152,0.20,1.20,1,0,0.27,0.07,0.06,1.16,0,0,76.8
"Catalonha, refogada",184,100,2,4.80,63,0,4.80,3.70,0,1.20,63,25,16,452.00,0.64,35,0.18,0.40,1,0,0.04,0,0.03,0.60,850,850,87.4
"Presunto, com capa de gordura",185,100,14.40,1.40,128,40,6.80,0,0,0.70,12,1021.00,17,295,0.04,274,0.04,1.30,3.50,0,0.62,0.03,0,3.78,0,0,73.9
"Carne, bovina, miolo de alcatra, sem gordura, grelhado",186,100,31.90,0,241,92,11.60,0,0,3.20,5,52,26,385,0.02,279,0.11,4.80,1.20,0,0.03,0.05,0.05,4.66,0,0,52.4
"Lentilha, crua",187,100,23.20,62,339,0,0.80,16.90,0,7.00,54,0,94,887.00,1.08,368,0.83,3.50,2.60,0,0.11,0,0.42,5.07,0,0,11.5
"Maçã, Fuji, com casca, crua",188,100,0.30,15.20,56.00,0,0,1.30,2.40,0.10,2,0,2,75,0.03,9,0.06,0,0.20,0,0,0,0.03,0,4,4,84.3
"Hambúrguer, bovino, cru",189,100,13.20,4.20,215,70,16.20,0,0,1.90,34,869,25,383,0.36,141,0.16,1.70,2.90,0,0.06,0.08,0.04,3.53,0,0,63.6
"Caldo de carne, tablete",190,100,7.80,15.10,241,0,16.60,0.60,0,0,129,22180,22,218.00,0.02,123,0,0,57.60,0,0.70,0.07,0.27,0,0,0,2.9
"Arroz, integral, cozido",191,100,2.60,25.80,124,0,1,2.70,0,0.30,5,1,59,75,0.63,106,0.02,0.70,0.50,0,0.08,0,0.08,0,0,0,70.1
"Bife à cavalo, com contra filé",192,100,23.70,0,291,257,21.10,0,0,2.10,26,83,19,272,0.02,216,0.06,3.20,1.10,37,0.05,0.10,0,2.92,0,0,54.2
"Chocolate, ao leite, com castanha do Pará",193,100,7.40,55.40,559,16,34.20,2.50,1.40,1.50,171,64,80,431.00,0.36,303,0.45,1.30,1.80,36,0.04,0.24,0,1.37,0,0,1.2
"Creme de arroz, pó",194,100,7.00,83.90,386,0,1.20,1.10,0,0.60,7.00,1,51,115.00,1.24,153,0.04,1.90,0.50,0,0.22,0,0.05,0,0,0,7.3
"Taioba, crua",195,100,2.90,5.40,34,0,0.90,4.50,17.90,1.90,141,1,38,290,0.66,53,0.16,0.60,1.50,0,0,0.10,0.10,0,1160,1160,89.2
"Óleo, de milho",196,100,0,0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pinha, crua",197,100,1.50,22.40,88,0,0.30,3.40,35.90,0.20,21,1,31,283,0.15,34,0.11,0.20,0.70,0,0.12,0.04,0.09,0,0,0,75.0
"Carne, bovina, coxão mole, sem gordura, cozido",198,100,32.40,0,219,84,8.90,0,0,2.60,4,44,13,239,0,183,0.11,4.70,1.20,2,0,0,0,4.09,2,2,58.0
"Carne, bovina, filé mingnon, sem gordura, cru",199,100,21.60,0,143,55.00,5.60,0,0,1.90,3,49,21,322,0.01,193,0.08,2.80,1.10,4,0.12,0.10,0.04,1.78,4,4,71.9
"Cacau, cru",200,100,1,19.40,74,0,0.10,2.20,13.60,0.30,12,1,25,72,0.04,9,0.15,0.60,0.30,0,0.25,0,0.04,0,0,0,79.2
"Frango, com açafrão",201,100,9.70,4.10,113.00,50,6.20,0.20,5.30,0.80,13,29.00,16,256,0.09,167,0.02,0.50,0.50,8,0.03,0,0,1.64,0,0,79.5
"Abóbora, cabotian, cozida",202,100,1.40,10.80,48,0,0.70,2.50,7.50,0.30,8,1,9,199,0.26,33,0.06,0.30,0.70,0,0.08,0,0.07,0,0,0,86.4
"Alface, lisa, crua",203,100,1.70,2.40,14.00,0,0.10,2.30,21.40,0.60,28.00,4,9,349,0.33,26,0.03,0.30,0.80,0,0.09,0.08,0.07,0.75,368,368,95.0
"Pão, de queijo, cru",204,100,3.60,38.50,295,63,14.00,1,0,0.30,88,405,7.00,58.00,0,79,0,0.40,2,48,0,0.08,0,0,0,0,41.8
"Laranja, pêra, suco",205,100,0.70,7.60,33,0,0.10,0,73.30,0,7.00,0,8,149,0.03,14.00,0.01,0,0.30,0,0,0,0,0,1,1,91.3
Acarajé,206,100,8.30,19.10,289,25,19.90,9.40,0,1.90,124,305,51,354,0.59,142,0.23,1.20,2.10,0,0.06,0,0,0,0,0,50.5
"Arroz, tipo 2, cozido",207,100,2.60,28.20,130,0,0.40,1.10,0,0.10,3,2,6,20,0.37,22,0.04,0.50,0.10,0,0,0,0,0,0,0,68.7
"Curau, milho verde, mistura para",208,100,2.20,79.80,402.00,0,13.40,2.50,0,0.90,31,223,9,55.00,0.05,45,0.03,0.20,0.70,0,0.13,0,0,0,0,0,3.9
"Farinha, de mandioca, crua",209,100,1.60,87.90,361,0,0.30,6.40,0,1.10,65,1,37,340,0,42,0.08,0.40,0.90,0,0.14,0,0.04,0,0,0,9.4
"Batata, inglesa, sauté",210,100,1.30,14.10,68,0,0.90,1.40,0,0.30,4,8,6,199,0.08,32,0.05,0.20,0.60,0,0.07,0,0.09,1.38,0,0,83.1
"Lingüiça, frango, frita",211,100,18.30,0,245.00,76,18.50,0,0,0.80,15,1374,29.00,364,0.10,262,0.04,1.20,3.80,0,0.11,0.05,0,5.67,0,0,59.6
"Cereal matinal, milho",212,100,7.20,83.80,365,0,1,4.10,17.30,3.10,143,655,11,83,0.06,101,0.06,7.60,2.50,0,0.76,1.02,2.25,11.04,31,31,5.5
"Almeirão, cru",213,100,1.80,3.30,18,0,0.20,2.60,1.70,0.70,19,2,21,369,0.17,40,0.10,0.30,1,0,0.10,0.18,0,0.63,566,566,93.7
"Cupuaçu, polpa, congelada",214,100,0.80,11.40,49,0,0.60,1.60,10.50,0.30,5,1,14.00,291,0.17,14.00,0.14,0.20,0.60,0,0.07,0.07,0.05,0,0,0,86.6
"Bolo, pronto, chocolate",215,100,6.20,54.70,410.00,77,18.50,1.40,0,2.10,75,283,28.00,212,0.38,197,0.05,0.70,1.30,0,0.13,0.09,0.05,0,0,0,19.3
"Pescada, filé, cru",216,100,16.70,0,107,65,4,0,0,0.20,14.00,77,23,253.00,0.01,141,0,0.30,0.90,48,0,0.05,0,3.10,48,48,79.5
"Frango, inteiro, sem pele, assado",217,100,28.00,0,187,111.00,7.50,0,0,0.60,9,70,14.00,283,0,233,0.03,1.60,1.20,0,0.09,0,0,11.20,0,0,63.2
"Repolho, branco, cru",218,100,0.90,3.90,17,0,0.10,1.90,18.70,0.20,35,4,9,150,0.13,14.00,0.02,0.20,0.40,0,0,0.03,0.06,0,6,6,94.7
"Carne, bovina, acém, sem gordura, cru",219,100,20.80,0,144,53,6.10,0,0,1.50,5,50,13,234,0,144,0.04,5.20,1,2,0.12,0.12,0,2.33,2,2,71.5
"Chicória, crua",220,100,1.10,2.90,14.00,0,0.10,2.20,6.50,0.50,45,14.00,14.00,425,0.13,13,0.04,0.10,0.80,0,0.03,0.10,0,0.68,0,0,95.1
"Manteiga, sem sal",221,100,0.40,0,758,214,86,0,0,0,4,4,1,5,0,7.00,0.04,0,0.10,1013.00,0,0,0,0,0,0,13.6
"Carne, bovina, língua, crua",222,100,17.10,0,215,118,15.80,0,0,1.70,5,73,15,251.00,0.02,164,0.09,2.90,0.80,0,0.05,0.04,0,1.18,0,0,65.0
"Limão, cravo, suco",223,100,0.30,5.20,14.00,0,0,0,32.80,0.10,10,0,9,120,0.03,11,0.03,0,0.20,0,0,0,0,0,31,31,94.2
"Toucinho, frito",224,100,27.30,0,697,89,64.30,0,0,0.90,9,125,9,171,0.01,95,0.10,0.80,0.70,0,0,0,0,5.03,0,0,6.3
"Chuchu, cru",225,100,0.70,4.10,17,0,0.10,1.30,10.60,0.20,12,0,7.00,126,0.08,18,0.03,0.10,0.30,0,0,0,0,0,0,0,94.8
"Salmão, sem pele, fresco, grelhado",226,100,26.10,0,243.00,73,14.50,0,0,0.40,15,96,38,518,0.01,352,0.04,0.50,1.60,0,0.23,0.03,0,6.30,0,0,58.1
"Capuccino, pó",227,100,11.30,73.60,417,29.00,8.60,2.40,0,2.30,467,382,71,886,0.17,358,0,1.10,3.80,52,0,1.41,0,0,0,0,2.6
Maniçoba,228,100,10,3.40,134,43,8.70,2.20,0,3.20,66,407,24,148,0.60,55.00,0.16,2,1.50,0,0.04,0.07,0.05,2.58,222.00,222.00,76.4
"Manjericão, cru",229,100,2,3.60,21,0,0.40,3.30,2.30,1,211,4,58.00,252,0.17,40,0.16,0.50,1,0,0.06,0.21,0.06,0.90,1035,1035,93.0
"Ovo, de codorna, inteiro, cru",230,100,13.70,0.80,177,568,12.70,0,0,3.30,79,129,11,79,0,279,0.04,2.10,1.20,305,0.11,0.12,0,0.97,0,0,71.7
"Goiaba, branca, com casca, crua",231,100,0.90,12.40,52,0,0.50,6.30,99.20,0.20,5,0,7.00,220.00,0.07,16,0.04,0.20,0.50,0,0,0,0.03,0,0,0,85.7
"Cação, posta, cozida",232,100,25.60,0,116.00,83,0.70,0,0,0.30,10,115.00,21,249.00,0,204,0.03,0.60,1.20,12,0,0.04,0,9.77,12,12,75.9
"Manjuba, com farinha de trigo, frita",233,100,23.50,10.20,344,282,22.60,0.40,0,3,763,37,47,319,0.36,578,0.15,3.80,2.40,30,0.05,0.07,0,0.79,30,30,41.3
"Uva, suco concentrado, envasado",234,100,0,14.70,58.00,0,0,0.20,21,0.10,9,10,7.00,54,0.20,10,0.13,0.10,0.20,0,0.07,0.02,0.05,0,0,0,85.1
"Carne, bovina, coxão mole, sem gordura, cru",235,100,21.20,0,169,84,8.70,0,0,1.90,3,61,21,335,0,175,0.05,2.60,1,3,0.12,0.19,0,2.32,3,3,68.6
"Frango, peito, com pele, cru",236,100,20.80,0,149,80,6.70,0,0,0.40,8,62,28.00,252,0.01,213,0.05,0.60,0.90,4,0.09,0,0,2.58,4,4,71.9
"Refrigerante, tipo cola",237,100,0,8.70,34,0,0,0,0,0,1,7.00,0,1,0,17,0,0,0.10,0,0,0,0,0,0,0,91.3
"Beterraba, crua",238,100,1.90,11.10,49,0,0.10,3.40,3.10,0.30,18,10,24,375,1.23,19,0.08,0.50,0.90,0,0.04,0,0.04,0,0,0,86.0
"Pequi, cru",239,100,2.30,13,205.00,0,18,19,8.30,0.30,32,0,30,298,0.64,34,0.21,1,0.80,0,0.17,0.48,0.06,2.57,60,60,65.9
"Azeite, de oliva, extra virgem",240,100,0,0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Margarina, com óleo hidrogenado, sem sal (80% de lipídeos)",241,100,0,0,723,0,81.70,0,0,0.10,3,78,1,2,0,4,0,0,0.20,534,0,0,0,0,0,0,19.6
"Amendoim, torrado, salgado",242,100,22.50,18.70,606,0,54,7.80,0,1.30,39,376,159,496,1.70,261,0.68,2.10,3.20,0,0.08,0,0.21,7.47,0,0,1.7
"Frango, peito, sem pele, cru",243,100,21.50,0,119,59,3,0,0,0.40,7.00,56.00,31,267,0.01,222.00,0.03,0.70,1,2,0.10,0,0,5.86,2,2,74.8
"Batata, inglesa, crua",244,100,1.80,14.70,64,0,0,1.20,31.10,0.40,4,0,15,302,0.10,39,0.09,0.20,0.60,0,0.10,0,0.15,0,0,0,82.9
"Cajá-Manga, cru",245,100,1.30,11.40,46,0,0,2.60,26.70,0.20,13,1,11,119,0.05,24,0.02,0.20,0.40,0,0.11,0,0.05,0,0,0,86.9
"Nhoque, batata, cozido",246,100,5.90,36.80,181,15,1.90,1.80,0,1.60,11,7.00,18,164,0.30,68,0.10,0.50,0.50,15,0.08,0,0.04,0,0,0,55.0
"Feijão, roxo, cru",247,100,22.20,60,331,0,1.20,33.80,0,6.90,120,10,162,1221,1.34,394,1.04,3.30,4,0,0.26,0,0.08,0,0,0,12.6
"Arroz, tipo 1, cru",248,100,7.20,78.80,358,0,0.30,1.60,0,0.70,4,1,30,62,1.03,104,0.11,1.20,0.50,0,0.16,0,0.07,1.12,0,0,13.2
"Azeitona, preta, conserva",249,100,1.20,5.50,194,0,20.30,4.60,0,5.50,59,1567,5,79,0.06,16,0.25,0.30,4.50,0,0,0,0.04,0,0,0,68.5
"Espinafre, Nova Zelândia, cru",250,100,2,2.60,16,0,0.20,2.10,2.40,0.40,98,17,82,336,0.71,25,0.06,0.30,1.20,0,0.10,0.21,0.06,0,484,484,94.0
"Salada, de legumes, com maionese",251,100,1.10,8.90,96,7.00,7.00,2.20,0,0.20,12,228.00,9,141,0.10,22,0.04,0.20,0.90,0,0.04,0,0.04,0,283,283,82.0
"Croquete, de carne, frito",252,100,16.90,18.10,347,38,22.70,0,0,2.30,18,916,30,313,0.39,176,0.09,3.30,3.10,0,0.14,0.04,0,4.77,0,0,39.2
Yakisoba,253,100,7.50,18.30,113.00,0,2.60,1.10,0,0.60,14.00,794,13,159,0.15,83,0.06,0.70,2.20,0,0.16,0,0,2.09,62,62,69.4
"Carne, bovina, acém, moído, cru",254,100,19.40,0,137,58.00,5.90,0,0,1.80,3,49,14.00,237,0,158,0.08,6.30,0.90,2,0.15,0.21,0.03,4.33,2,2,72.7
"Cereais, milho, flocos, com sal",255,100,7.30,80.80,370,0,1.60,5.30,0,0.50,2,272,20,69,0,91,0,0.60,1,0,0.12,0,0.06,0,0,0,9.3
"Porco, rabo, salgado, cru",256,100,15.60,0,377,89,34.50,0,0,0.60,22,1158,4,24,0.01,42,0.05,1.40,3.50,0,0.20,0.06,0,1.43,0,0,43.8
"Pescadinha, crua",257,100,15.50,0,76,84,1.10,0,0,0.50,332,120,34,304,0.07,327,0.10,0.60,2,0,0.08,0,0,6.60,0,0,80.6
"Omelete, de queijo",258,100,15.60,0.40,268,384,22,0,0,1.40,166,216,14.00,127,0.03,314,0.03,1.40,1.50,59,0.03,0.24,0,0,0,0,60.5
"Azeitona, verde, conserva",259,100,0.90,4.10,137,0,14.20,3.80,0,0.20,46,1347,4,20,0.03,5,0.14,0.10,4.50,0,0,0,0,0,0,0,76.3
"Lingüiça, porco, frita",260,100,20.50,0,280,75,21.30,0,0,0.90,8,1432,18,409,0.01,211,0.06,3.10,3.90,0,0.41,0.07,0,5.83,0,0,54.6
"Pinhão, cozido",261,100,3,43.90,174,0,0.70,15.60,27.70,0.80,16,1,53,727,0.41,166,0.18,0.80,1.80,0,0,0,0,0,0,0,50.5
"Acerola, polpa, congelada",262,100,0.60,5.50,22,0,0,0.70,623.20,0.20,8,1,9,112.00,0.03,13,0.04,0.10,0.30,0,0,0.10,0,0,192,192,93.6
Feijoada,263,100,8.70,11.60,117,22,6.50,5.10,0,1.30,32,278,32,303,0.24,105,0.15,0.80,1.40,0,0.08,0.03,0,0.93,0,0,71.8
"Carne, bovina, maminha, crua",264,100,20.90,0,153,51,7.00,0,0,1.10,3,37,16,274,0,181,0.03,3.50,1,3,0.12,0.08,0.03,4.27,3,3,70.0
"Frango, coxa, sem pele, crua",265,100,17.80,0,120,91,4.90,0,0,0.80,8,98,27,291,0.02,196,0.03,2.20,0.90,12,0.17,0.05,0,3.53,12,12,76.4
"Abóbora, menina brasileira, crua",266,100,0.60,3.30,14.00,0,0,1.20,1.50,0.20,9,0,4,165,0.01,12,0.02,0,0.40,0,0.07,0,0.04,0,1108,1108,95.7
"Chá, preto, infusão 5%",267,100,0,0.60,2,0,0,0,0,0,0,0,1,13,0.09,2,0,0,0,0,3.11,0.48,0,0,0,0,99.4
"Limão, galego, suco",268,100,0.60,7.30,22,0,0.10,0,34.50,0.10,5,0,6,113.00,0.01,13,0.02,0.10,0.30,0,0,0,0.03,0,0,0,91.8
"Alface, americana, crua",269,100,0.60,1.70,9,0,0.10,1,11,0.30,14.00,7.00,6,136,0.12,19,0.02,0.20,0.30,0,0.03,0,0.04,0,0,0,97.2
"Pescada, branca, crua",270,100,16.30,0,111.00,51,4.60,0,0,0.20,16,76,19,261,0.01,136,0,0.30,0.90,3,0,0.04,0,0.60,3,3,79.6
"Farinha, de puba",271,100,1.60,87.30,360,0,0.50,4.20,0,1.40,41,4,27,338,0.16,33,0.07,0.30,0.80,0,0.09,0,0,0,0,0,9.8
"Alho-poró, cru",272,100,1.40,6.90,32,0,0.10,2.50,14.10,0.60,34,2,11,224.00,0.10,36,0.29,0.20,0.60,0,0.06,0,0.08,0.34,16,16,91.0
Melado,273,100,0,76.60,297,0,0,0,0,5.40,102,4,115.00,395,2.62,74,0.84,0.30,1.30,0,0,0.05,0.20,0,0,0,22.1
"Carne, bovina, peito, sem gordura, cozido",274,100,22.20,0,338,100,27,0,0,1.60,4,56.00,14.00,204,0,136,0.05,3.90,0.70,0,0,0.30,0,4.54,0,0,51.2
"Fruta-pão, crua",275,100,1.10,17.20,67,0,0.20,5.50,9.90,0.20,34,1,24,188,0.04,27,0.07,0.10,0.70,0,0.03,0,0,0,0,0,80.9
"Carne, bovina, seca, crua",276,100,19.70,0,313,92,25.40,0,0,1.30,14.00,4440,12,190,0.01,100,0,3.70,15.30,0,0,0.07,0,2.83,0,0,39.2
"Croquete, de carne, cru",277,100,12,13.90,246,30,15.60,0,0,2.50,15,711,24,221,0.34,144,0.10,2.70,2.50,0,0.11,0.04,0,1.95,0,0,56.0
"Caldo de galinha, tablete",278,100,6.30,10.60,251.00,2,20.40,11.80,0,0.70,16,22300,13,68,0.13,48,0,0.30,59.30,0,0.05,0.04,0,0,0,0,3.4
"Frango, sobrecoxa, sem pele, assada",279,100,29.20,0,233,145,12,0,0,1.20,12,106,17,382,0,281,0.07,2.20,1.50,11,0.10,0.05,0,10.20,11,11,55.6
"Carne, bovina, coxão duro, sem gordura, cozido",280,100,31.90,0,217,71,8.90,0,0,1.70,4,41,14.00,252,0,189,0.07,5,0.90,2,0,0,0,3.26,2,2,58.5
"Feijão, preto, cru",281,100,21.30,58.80,324,0,1.20,21.80,0,6.50,111.00,0,188,1416,1.32,471,0.83,2.90,3.80,0,0.12,0,0.59,4.60,0,0,14.9
"Laranja, valência, crua",282,100,0.80,11.70,46,0,0.20,1.70,47.80,0.10,34,1,14.00,158,0.06,20,0.04,0.10,0.40,0,0.07,0.04,0.03,0,0,0,86.9
"Tremoço, cru",283,100,33.60,43.80,381,0,10.30,32.30,25,2.80,177,3,121,708,0,265,0.79,4.20,2.60,0,0.24,0,0.07,0,0,0,9.7
"Nêspera, crua",284,100,0.30,11.50,43,0,0,3,3.20,0.10,20,0,10,113.00,0.07,10,0.12,0.10,0.40,0,0,0,0,0,170,170,87.8
"Banana, maçã, crua",285,100,1.80,22.30,87,0,0.10,2.60,10.50,0.20,3,0,24,264,0.60,29.00,0.11,0.10,0.60,0,0,0,0.14,0,6,6,75.2
"Ciriguela, crua",286,100,1.40,18.90,76,0,0.40,3.90,27,0.40,27,2,18,248,0.06,49,0.12,0.50,0.70,0,0.14,0,0,0,0,0,78.7
"Romã, crua",287,100,0.40,15.10,56.00,0,0,0.40,8.10,0.30,5,1,13,485.00,0.13,40,0.19,0.70,0.50,0,0.12,0.17,0.05,0,0,0,84.0
