nome,id,Proteína,Carboidrato,Energia,Colesterol,Lipídeos,Fibra Alimentar,Vitamina C,Ferro,Cálcio,Sódio,Magnésio,Potássio,Manganês,Fósforo,Cobre,Zinco,Cinzas,Retinol,Tiamina,Riboflavina,Piridoxina,Niacina,RE,RAE,Umidade
"Banana, pacova, crua",433,100,1.20,20.30,78,0,0.10,2,0,0.40,5,1,30,267,0.41,20,0.06,0.10,0.70,0,0.05,0.03,0.17,0,0,0,77.7
"Cupuaçu, cru",434,100,1.20,10.40,49,0,1,3.10,24.50,0.50,13,3,18,331,0.07,21,0.07,0.30,1.20,0,0.37,0.04,0.07,4.34,0,0,86.2
"Uva, Itália, crua",435,100,0.70,13.60,53,0,0.20,0.90,3.30,0.10,7.00,0,5,162,0.13,12,0.11,0,0.60,0,0,0,0.03,0,5,5,85.0
"Porco, bisteca, grelhada",436,100,28.90,0,280,82,17.40,0,0,0.90,34,51,25,366,0,229,0.06,2.30,1.20,0,0.77,0.14,0.03,1.92,0,0,51.8
"Abadejo, filé, congelado, cru",437,100,13.10,0,59,31,0.40,0,0,0.10,10,79,14.00,148,0.01,91,0.14,0.40,0.60,0,0.04,0,0,4.60,0,0,86.4
"Kiwi, cru",438,100,1.30,11.50,51,0,0.60,2.70,70.80,0.30,24,0,11,269,0.05,33,0.15,0.10,0.70,0,0,0,0.06,0,5,5,85.9
"Lasanha, massa fresca, crua",439,100,7.00,45.10,220.00,0,1.30,1.60,0,1.90,17,667,13,137,0.34,82,0.10,0.80,1.60,0,0.08,0,0,0,0,0,45.0
"Batata, inglesa, frita",440,100,5,35.60,267,0,13.10,8.10,16.30,0.40,6,2,14.00,489.00,0.15,70,0.10,0.40,2.20,0,0.17,0,0.10,2.51,0,0,44.1
"Cebolinha, crua",441,100,1.90,3.40,20,0,0.40,3.60,31.80,0.60,80,2,25,206,0.13,27,0.04,0.30,0.50,0,0.03,0.04,0.08,0,134,134,93.9
"Bolo, mistura para",442,100,6.20,84.70,419.00,0,6.10,1.70,0,1.20,59,463,28.00,75,0.46,333,0.15,0.60,2,0,0.18,0,1.50,1.52,0,0,1.0
"Carne, bovina, fraldinha, com gordura, crua",443,100,17.60,0,221,54,16.10,0,0,1.50,3,51,16,274,0,131,0.04,4.20,0.90,5,0.08,0.07,0.03,3.56,5,5,65.4
"Carne, bovina, coxão duro, sem gordura, cru",444,100,21.50,0,148,60,6.20,0,0,1.90,3,49,21,358,0,189,0.05,2.80,1.10,2,0.12,0.20,0,4.38,2,2,69.8
"Amêndoa, torrada, salgada",445,100,18.60,29.50,581,0,47.30,11.60,0,3.10,237,279,222.00,640,1.95,493,0.93,2.60,1.50,0,0.29,0.16,0,0,0,0,3.1
"Melão, cru",446,100,0.70,7.50,29.00,0,0,0.30,8.70,0.20,3,11,6,216,0.05,10,0.04,0.10,0.50,0,0,0,0.02,0,2,2,91.3
"Feijão, rosinha, cru",447,100,20.90,62.20,337,0,1.30,20.60,0,5.30,68,24,184,1109,1.08,394,0.60,4,3.60,0,0.16,0.03,0,3.92,0,0,12.0
"Mandioca, crua",448,100,1.10,36.20,151,0,0.30,1.90,16.50,0.30,15,2,44,208,0.05,29.00,0.07,0.20,0.60,0,0,0,0.04,0,0,0,61.8
"Castanha-de-caju, torrada, salgada",449,100,18.50,29.10,570,0,46.30,3.70,0,5.20,33,125,237,671,1.59,594,1.92,4.70,2.60,0,0.29,0.05,0.39,0,0,0,3.5
"Palmito, juçara, em conserva",450,100,1.80,4.30,23,0,0.40,3.20,2,0.30,58.00,514,34,244,10.82,40,0.23,0.70,2.10,0,0.06,0.04,0,0,0,0,91.4
"Feijão, broto, cru",451,100,4.20,7.80,39,0,0.10,2,12,0.80,14.00,2,25,189,0.19,75,0.17,0.60,0.50,0,0,0.04,0.15,0,0,0,87.5
"Sardinha, assada",452,100,32.20,0,164,109.00,3,0,0,1.30,438,74,51,574,0.24,578,0.14,1.80,4.40,0,0.06,0,0,5.83,0,0,60.1
"Carne, bovina, costela, assada",453,100,28.80,0,373,95,27.70,0,0,2.20,28.00,92,20,270,0,179,0.08,5.50,1,0,0,0.08,0.35,0.56,0,0,43.2
"Milho, verde, enlatado, drenado",454,100,3.20,17.10,98,0,2.40,4.60,1.70,0.60,2,260,20,162,0.09,61,0.05,0.50,1.10,0,0,0.05,0,3.74,48,48,76.2
"Chocolate, ao leite, dietético",455,100,6.90,56.30,557,13,33.80,2.80,2,3.30,188,85,67,458,0.41,276,0.43,1.10,1.30,7.00,0.31,0.25,0,0.79,0,0,1.7
"Milho, verde, cru",456,100,6.60,28.60,138,0,0.60,3.90,0,0.40,2,1,33,185,0.12,113.00,0.05,0.50,0.70,0,0.30,0,0.04,0,32,32,63.5
"Abacaxi, polpa, congelada",457,100,0.50,7.80,31,0,0.10,0.30,1.20,0.40,14.00,1,10,107,1.02,8,0.04,0.10,0.30,0,0.05,0,0,0,2,2,91.3
"Caju, polpa, congelada",458,100,0.50,9.40,37,0,0.20,0.80,119.70,0.10,1,4,7.00,88,0.05,10,0.07,0.10,0.20,0,0,0.02,0,2.25,22,22,89.8
"Arroz, tipo 2, cru",459,100,7.20,78.90,358,0,0.30,1.70,0,0.60,5,1,29.00,57.00,0.83,82,0.05,1.30,0.40,0,0.16,0,0.05,0.92,0,0,13.2
"Uva, Rubi, crua",460,100,0.60,12.70,49,0,0.20,0.90,1.90,0.20,8,8,6,159,0.07,23,0.05,0,0.50,0,0.02,0.02,0,0,0,0,86.1
"Torrada, pão francês",461,100,10.50,74.60,377,0,3.30,3.40,0,1.20,19,829.00,32,189,0.55,114.00,0.16,0.90,2.60,0,0.38,0,0,0,0,0,9.0
"Carne, bovina, acém, moído, cozido",462,100,26.70,0,212,103,10.90,0,0,2.70,4,52,17,256,0.01,164,0.06,8.10,0.80,0,0,0.32,0,1.76,0,0,61.6
"Macarrão, trigo, cru, com ovos",463,100,10.30,76.60,371,18,2,2.30,0,0.90,19,15,0,134,0.40,118,0.14,0.80,0.50,0,0.11,0.05,0.03,4.37,0,0,10.6
"Atum, conserva em óleo",464,100,26.20,0,166,53,6,0,0,1.20,7.00,362,29.00,280,0,211,0.04,0.60,1.50,0,0.15,0.03,0,3.17,0,0,64.5
"Hambúrguer, bovino, grelhado",465,100,13.20,11.30,210,59,12.40,0,0,2.60,56.00,1090,48,538,0.40,263,0.18,3,3.90,0,0.18,0.06,0,5.77,0,0,59.2
Salame,466,100,25.80,2.90,398,85,30.60,0,0,1.30,87,1574,30,548,0.03,354,0.05,3.20,5.90,0,0.88,0.23,0,12.49,0,0,34.7
"Frango, inteiro, com pele, cru",467,100,16.40,0,226.00,85,17.30,0,0,0.60,6,63,24,217,0.01,174,0.04,1.10,0.70,7.00,0.08,0.03,0,3.28,7.00,7.00,66.5
"Margarina, com óleo interesterificado, sem sal (65% de lipídeos)",468,100,0,0,593,0,67.10,0,0,0.10,5,33,1,5,0,7.00,0,0,0.10,245.00,0,0,0,0,0,0,33.4
"Berinjela, crua",469,100,1.20,4.40,20,0,0.10,2.90,3,0.20,9,0,13,205.00,0.10,20,0.06,0.10,0.40,0,0.04,0.05,0,0,24,24,93.8
"Pão, aveia, forma",470,100,12.40,59.60,343,0,5.70,6,0,4.70,109.00,606,57.00,210,1.08,182,0.14,1.70,2.50,0,0.09,0.03,0.08,0,0,0,19.9
"Fermento em pó, químico",471,100,0.50,43.90,90,0,0.10,0,0,0,0,10052,0,0,0,0,0,0,48.50,0,0,0,0,0,0,0,7.1
"Óleo, de soja",472,100,0,0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berinjela, cozida",473,100,0.70,4.50,19,0,0.10,2.50,0,0.20,11,1,9,105,0.11,15,0.04,0.10,0.30,0,0.04,0,0,0,0,0,94.4
"Aveia, flocos, crua",474,100,13.90,66.60,394,0,8.50,9.10,1.40,4.40,48,5,119,336,1.89,153,0.44,2.60,1.80,0,0.55,0.03,0,4.47,0,0,9.1
"Frango, asa, com pele, crua",475,100,18.10,0,213,113.00,15.10,0,0,0.60,11,96,23,211,0.01,155,0.02,1.20,0.70,10,0.11,0.04,0,2.58,10,10,67.5
"Frango, coxa, sem pele, cozida",476,100,26.90,0,167,133,5.80,0,0,0.80,12,64,11,191,0,187,0.03,2.80,0.90,0,0.07,0,0,8.20,0,0,66.7
"Gergelim, semente",477,100,21.20,21.60,584,0,50.40,11.90,0,5.40,825,3,361,546,2.67,741,1.51,5.20,2.90,0,0.94,0,0.13,5.92,0,0,3.9
"Corimbatá, cozido",478,100,20.10,0,239,75,16.90,0,0,0.60,65,37,23,254,0.02,185,0.05,1,0.80,0,0,0,0,2.09,0,0,64.6
"Corvina grande, assada",479,100,26.80,0,147,117,3.60,0,0,0.50,60,85,24,291,0.03,176,0.02,0.70,1.30,0,0.11,0.10,0,4.23,0,0,69.0
"Laranja, baía, crua",480,100,1,11.50,45,0,0.10,1.10,56.90,0.10,35,0,9,174,0.04,24,0.04,0.10,0.40,0,0.06,0.02,0,0,4,4,87.1
"Margarina, com óleo hidrogenado, com sal (65% de lipídeos)",481,100,0,0,596,0,67.40,0,0,0.10,6,894,1,21,0,7.00,0,0,1.90,462,0,0,0,0,0,0,32.2
"Carne, bovina, almôndegas, cruas",482,100,12.30,9.80,189,34,11.20,0,0,1.60,22,621,24,328,0.17,145,0.15,2.30,2.40,0,0.11,0.04,0,2.20,0,0,64.3
"Abóbora, cabotian, crua",483,100,1.70,8.40,39,0,0.50,2.20,5.10,0.40,18,0,9,351,0.11,26,0.06,0.30,0.80,0,0,0,0.10,0,446,446,88.5
"Bolo, pronto, coco",484,100,5.70,52.30,333,63,11.30,1.10,0,0.80,57.00,190,16,143,0.40,303,0.09,0.70,1.40,0,0.15,0.06,0,0,0,0,29.3
"Mandioca, cozida",485,100,0.60,30.10,125,0,0.30,1.60,11.10,0.10,19,1,27,100,0.06,22,0.01,0.20,0.40,0,0.06,0,0.03,0,0,0,68.7
"Frango, caipira, inteiro, sem pele, cozido",486,100,29.60,0,196,106,7.70,0,0,2.10,66,53,23,224.00,0.02,210,0.15,2.70,1.10,6,0.03,0.03,0,9.20,6,6,61.4
"Porco, bisteca, frita",487,100,33.70,0,311,126,18.50,0,0,0.80,69,63,29.00,404,0.01,290,0.07,2.20,1.60,10,0.34,0,0,3.25,10,10,47.3
"Abiu, cru",488,100,0.80,14.90,62,0,0.70,1.70,10.30,0.20,6,0,9,128,0.08,20,0.09,0.10,0.40,0,0,0.04,0.05,0,0,0,83.1
"Aipo, cru",489,100,0.80,4.30,19,0,0.10,1,5.90,0.70,65,10,9,274,0.18,28.00,0.31,0.10,1.10,0,0,0,0.18,0,916,916,93.8
"Carne, bovina, lagarto, cozido",490,100,32.90,0,222.00,56.00,9.10,0,0,1.90,4,48,13,254,0,167,0.05,7.00,0.90,3,0,0,0,2.55,3,3,57.6
"Carne, bovina, músculo, sem gordura, cozido",491,100,31.20,0,194,56.00,6.70,0,0,2.40,5,62,13,253.00,0,176,0.08,6.40,0.90,2,0,0,0,1.97,2,2,62.8
"Carne, bovina, flanco, sem gordura, cozido",492,100,29.40,0,196,62,7.80,0,0,2.80,4,42,14.00,249.00,0,181,0.07,5.60,0.90,2,0,0,0,2.32,2,2,62.0
Rapadura,493,100,1,90.80,352,0,0.10,0,0,4.40,30,22,47,459,1.66,21,0.17,0.60,1.10,0,0,0,0.04,0,0,0,7.1
"Farinha, de milho, amarela",494,100,7.20,79.10,351,0,1.50,5.50,0,2.30,1,45,31,58.00,0,84,0.27,0.60,0.50,0,0.25,0,0.25,0,18,18,11.8
"Lingüiça, porco, crua",495,100,16.10,0,227,53,17.60,0,0,0.40,6,1176,14.00,316,0.01,157,0.04,1.40,3.20,0,0.49,0.05,0,2.60,0,0,62.5
"Umbu, polpa, congelada",496,100,0.50,8.80,34,0,0.10,1.30,4,0.20,11,6,8,154,0.05,13,0.04,0.10,0.40,0,0,0.06,0,0,0,0,90.2
"Doce, de abóbora, cremoso",497,100,0.90,54.60,199,0,0.20,2.30,0.10,0.90,13,0,6,137,0.01,14.00,0,0,0.40,0,0.08,0,0.04,0,0,0,43.9
"Bebida isotônica, sabores variados",498,100,0,6.40,26,0,0,0,0,0.70,1,44,0,13,0,9,0,0,0.10,0,0,0,0,0,0,0,93.5
"Porco, orelha, salgada, crua",499,100,18.50,0,258,83,19.90,0,0,1.40,5,616,2,228.00,0.01,31,0.23,0.60,2,0,0.07,0.03,0,0,0,0,59.7
Shoyu,500,100,3.30,11.60,61,0,0.30,0,0,0.50,15,5024,24,165,0.07,47,0,0.20,14.10,0,0.83,0.06,0.15,2.10,0,0,70.6
"Carne, bovina, picanha, sem gordura, crua",501,100,21.30,0,134,75,4.70,0,0,2.10,3,61,20,322,0,183,0.08,4.20,1,0,0,0.05,0,1.89,0,0,72.4
"Chantilly, spray, com gordura vegetal",502,100,0.50,16.90,315,0,27.30,0,0,0,2,110.00,1,5,0,16,0.01,0.10,0.20,0,0.07,0,0,0,0,0,55.1
"Frango, coxa, com pele, assada",503,100,28.50,0.10,215,145,10.40,0,0,1.20,8,95,14.00,318,0,251.00,0.05,2.60,1.30,6,0.05,0.05,0,10.40,6,6,59.8
"Pastel, massa, frita",504,100,6,49.30,570,0,40.90,1.30,0,1.40,11,1175,13,143,0.36,62,0.08,0.50,2.80,0,0.16,0,0,0,0,0,1.0
"Carne, bovina, patinho, sem gordura, grelhado",505,100,35.90,0,219,126,7.30,0,0,3,5,60,27,421,0.02,289,0.12,8.10,1.30,0,0.04,0.03,0,3.01,0,0,55.2
"Farinha, de centeio, integral",506,100,12.50,73.30,336,0,1.80,15.50,0,4.70,34,41,120,334,3.86,340,0.56,2.70,1.70,0,0.29,0.03,0.08,0,0,0,10.8
"Tucupi, com pimenta-de-cheiro",507,100,2.10,4.70,27,0,0.30,0.20,46.40,1.10,28.00,5,42,391,0.52,31,0.12,0.90,1,0,0,0,0.05,0,51,51,91.9
"Feijão, carioca, cru",508,100,20,61.20,329,0,1.30,18.40,0,8,123,0,210,1352,1.02,385,0.79,2.90,3.50,0,0.17,0,0.65,4.02,0,0,14.0
"Manjuba, frita",509,100,30.10,0,349,270,24.50,0,0,0.90,575,41,32,318,0.21,735,0.14,3.20,4.20,12,0.03,0.03,0,7.27,12,12,40.7
"Porquinho, cru",510,100,20.50,0,93,49,0.60,0,0,0.40,26,67,24,313,0.05,207.00,0.04,0.70,1.30,5,0,0,0,1.19,5,5,79.2
"Queijo, requeijão, cremoso",511,100,9.60,2.40,257,74,23.40,0,0,0.10,259,558,12,93,0.02,448.00,0.05,1.30,2,195,0,0.19,0,0,0,0,62.5
"Cenoura, crua",512,100,1.30,7.70,34,0,0.20,3.20,5.10,0.20,23,3,11,315,0.05,28.00,0.05,0.20,0.90,0,0,0,0.05,0,1326,1326,90.1
"Farinha, de trigo",513,100,9.80,75.10,360,0,1.40,2.30,0,1,18,1,31,151,0.46,115.00,0.15,0.80,0.80,0,0.31,0,0,0.89,0,0,13.0
"Açúcar, mascavo",514,100,0.80,94.50,369,0,0.10,0,0,8.30,127,25,80,522,2.03,38,0.17,0.50,1.40,0,0,0.03,0,0,0,0,3.3
"Soja, extrato solúvel, pó",515,100,35.70,28.50,459,0,26.20,7.30,9.20,7.00,359,83,216,1607,2.68,647,1.19,5.80,5.20,0,0,0.11,0.35,0,0,0,4.5
"Leite, de vaca, achocolatado",516,100,2.10,14.20,83,6,2.20,0.60,3.30,0.50,70,72,13,155,0.05,71,0.04,0.30,0.70,39,0.07,0.29,0.14,1.23,0,0,80.9
"Batata, frita, tipo chips, industrializada",517,100,5.60,51.20,543,0,36.60,2.50,0,0.70,12,607,24,1014,0.23,96,0.12,0.60,3.90,0,0.20,0,0.13,2.61,0,0,2.7
"Iogurte, natural",518,100,4.10,1.90,51,14.00,3,0,0.90,0,143,52,11,71,0,119,0.02,0.40,0.90,23,0.04,0.22,0,0,0,0,90.0
"Banana, ouro, crua",519,100,1.50,29.30,112.00,0,0.20,2,7.60,0.30,3,0,28.00,355,0.09,22,0.08,0.30,0.80,0,0,0,0.14,0,50,50,68.2
Vatapá,520,100,6,9.70,255.00,44,23.20,1.70,0,1.40,47,880.00,39,209,0.48,108,0.28,0.90,2.70,0,0,0,0,1.80,0,0,58.4
"Mexerica, Rio, crua",521,100,0.70,9.30,37,0,0.10,2.70,112.00,0.10,17,2,8,125,0.05,14.00,0.07,0.20,0.30,0,0.03,0,0,0,0,0,89.6
"Macarrão, trigo, cru",522,100,10,77.90,371,0,1.30,2.90,0,0.90,17,7.00,28.00,147,0.53,100,0.15,0.80,0.50,0,0.18,0.02,0,3.57,0,0,10.2
"Soja, farinha",523,100,36,38.40,404,0,14.60,20.20,0,13.10,206,6,242,1922,2.87,539,1.29,4.50,5.10,0,0.20,0.04,0.03,0,0,0,5.8
"Atum, fresco, cru",524,100,25.70,0,118,48,0.90,0,0,1.30,7.00,30,32,308,0,254,0.09,0.40,1.30,20,0,0.04,0,5.94,20,20,73.1
"Cará, cru",525,100,2.30,23,96,0,0.10,7.30,8.80,0.20,4,0,11,212,0.01,35,0.06,0.20,0.90,0,0.11,0,0.02,0,0,0,73.7
"Óleo, de babaçu",526,100,0,0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feijão, jalo, cru",527,100,20.10,61.50,328,0,0.90,30.30,0,7.00,98,25,170,1276,0.99,427.00,0.95,3,3.90,0,0.10,0,0.12,0,0,0,13.5
"Pêra, Park, crua",528,100,0.20,16.10,61,0,0.20,3,2.40,0.30,9,1,6,102,0.04,12,0.08,0.10,0.30,0,0.06,0,0,0,0,0,83.2
"Empada de frango, pré-cozida, assada",529,100,6.90,47.50,358,23,15.60,2.20,0,1.20,16,525,18,138,0.32,78,0.07,0.60,1.80,0,0.12,0,0,0,0,0,28.2
"Tucunaré, filé, congelado, cru",530,100,18,0,88,47,1.20,0,0,0.30,19,57.00,26,288,0.01,168,0.10,0.40,1,0,0,0.05,0,0.90,0,0,79.9
"Camarão, Rio Grande, grande, cozido",531,100,19,0,90,241,1,0,0,1.30,90,367,19,102,0.06,266,0.17,1.20,1.70,0,0,0,0,1.07,0,0,78.7
"Pêssego, Aurora, cru",532,100,0.80,9.30,36,0,0,1.40,3.30,0.20,3,0,4,124,0.05,15,0.02,0.10,0.50,0,0.05,0,0,0,0,0,89.3
"Camarão, Sete Barbas, sem cabeça, com casca, frito",533,100,18.40,2.90,231,283,15.60,0,0,2.40,960,99,74,107,0.38,337,0.19,1.10,2.10,0,0.05,0,0,0.35,0,0,61.0
"Graviola, polpa, congelada",534,100,0.60,9.80,38,0,0.10,1.20,10.50,0.10,6,3,10,170,0.06,17,0.06,0.10,0.40,0,0,0.09,0,0,0,0,89.2
"Queijo, parmesão",535,100,35.60,1.70,453,106,33.50,0,0,0.50,992,1844.00,33,96,0.05,745,0.17,4.40,8,66,0,0.44,0.23,0,0,0,21.2
"Abacate, cru",536,100,1.20,6,96,0,8.40,6.30,0,0,8,0,15,0,0,0,0,0,0.50,0,0,0,0,0,0,0,83.8
"Carne, bovina, picanha, com gordura, grelhada",537,100,26.40,0,289,92,19.50,0,0,3.20,4,60,24,355,0,246,0.14,5.50,1.10,0,0.03,0.06,0.13,1.60,0,0,53.4
"Macarrão, instantâneo",538,100,8.80,62.40,436.00,0,17.20,5.60,0,0.80,18,1516,19,148,0.25,112.00,0.10,0.50,5.60,0,1.18,0.04,0.53,9.37,0,0,6.0
"Jurubeba, crua",539,100,4.40,23.10,126,0,3.90,23.90,13.80,0.90,151,1,65,619,0.52,155,1.16,0.60,2,0,0.13,0.02,0.20,0,0,0,66.6
"Cana, caldo de",540,100,0,18.20,65,0,0,0.10,2.80,0.80,9,0,12,18,0.21,5,0.01,0.10,0.10,0,0,0,0.03,0,0,0,81.7
"Manga, Palmer, crua",541,100,0.40,19.40,72,0,0.20,1.60,65.50,0.10,12,2,9,157,0.05,14.00,0.09,0.10,0.30,0,0.09,0.03,0,0,787,787,79.7
"Feijão, preto, cozido",542,100,4.50,14.00,77,0,0.50,8.40,0,1.50,29.00,2,40,256,0.37,88,0.20,0.70,0.80,0,0.06,0,0.03,0,0,0,80.2
"Pimentão, vermelho, cru",543,100,1,5.50,23,0,0.10,1.60,158.20,0.30,6,0,11,211,0.06,20,0.04,0.20,0.40,0,0.05,0.06,0.02,0,96,96,92.9
"Curau, milho verde",544,100,2.40,13.90,78,5,1.60,0.50,0,0.40,53,21,16,162,0.06,75,0.03,0.40,0.50,12,0.04,0.07,0,0,20,20,81.6
"Queijo, minas, frescal",545,100,17.40,3.20,264,62,20.20,0,0,0.90,579,31,7.00,105,0.02,123,0,0.30,3,161,0,0.25,0,0,0,0,56.1
"Maxixe, cru",546,100,1.40,2.70,14.00,0,0.10,2.20,9.60,0.40,21,11,10,328,0.07,25,0.02,0.20,0.70,0,0.06,0.02,0.04,0,6,6,95.1
"Caju, cru",547,100,1,10.30,43,0,0.30,1.70,219.30,0.20,1,3,10,124,0.12,16,0.07,0.10,0.30,0,0,0,0,0,15,15,88.1
"Frango, caipira, inteiro, com pele, cozido",548,100,23.90,0,243.00,110.00,15.60,0,0,1.70,17,56.00,18,210,0.01,162,0.08,1.70,0.80,16,0.03,0,0,6.33,16,16,59.7
"Porco, lombo, assado",549,100,35.70,0,210,103,6.40,0,0,0.50,20,39,18,311,0,238,0.03,1.80,1.40,0,0.75,0.07,0.11,12.43,0,0,56.6
"Alho, cru",550,100,7.00,23.90,113.00,0,0.20,4.30,0,0.80,14.00,5,21,535,0.24,149,0.15,0.80,1.30,0,0.18,0,0.44,0,0,0,67.5
"Paçoca, amendoim",551,100,16,52.40,487,0,26.10,7.30,0,1.10,22,167,101,348,1.06,198,0.38,1.60,3.80,0,0,0,1.20,0,0,0,1.8
"Milho, amido, cru",552,100,0.60,87.10,361,0,0,0.70,0,0.10,1,8,3,9,0.02,13,0.02,0.10,0.10,0,0,0,0,0,0,0,12.2
"Manga, Haden, crua",553,100,0.40,16.70,64,0,0.30,1.60,17.40,0.10,12,1,8,148,0.17,9,0.10,0.10,0.40,0,0.02,0.06,0.05,0,162,162,82.3
"Presunto, sem capa de gordura",554,100,14.30,2.10,94,36,2.70,0,0,0.80,23,1039,18,307,0.04,244,0.04,1.50,3.70,0,0.50,0.03,0,4,0,0,77.2
"Lingüiça, porco, grelhada",555,100,23.20,0,296,82,21.90,0,0,1,8,1456,19,427.00,0.01,210,0.07,3.50,4,0,0.40,0.07,0,6.60,0,0,50.5
"Maria mole, coco queimado",556,100,3.90,75.10,307,0,0.10,0.60,0,0.50,19,14.00,6,36,0.09,5,0.03,0.10,0.20,0,0.04,0,0,0,0,0,20.7
"Grão-de-bico, cru",557,100,21.20,57.90,355,0,5.40,12.40,0,5.40,114.00,5,146,1116,3.16,342,0.67,3.20,3.20,0,0.52,0,0.75,0,0,0,12.3
"Pastel, de carne, cru",558,100,10.70,42,289,18,8.80,1,0,2,17,1309,18,166,0.34,117,0.11,1.70,4.10,0,0.06,0.03,0,1.58,0,0,34.4
"Frango, peito, com pele, assado",559,100,33.40,0,212,109.00,7.60,0,0,0.50,8,56.00,18,380,0.01,297,0.01,1,1.50,6,0.12,0,0,15.80,6,6,58.5
"Dourada de água doce, fresca",560,100,18.80,0,131,52,5.60,0,0,0.20,12,40,26,393,0.01,189,0.02,0.50,1.10,0,0,0,0,3.70,0,0,76.2
"Carne, bovina, capa de contra-filé, com gordura, grelhada",561,100,30.70,0,312,120,20,0,0,2.60,7.00,81,18,323,0,214,0.13,6.20,1.10,0,0,0.06,0,1.74,0,0,47.9
"Cebola, crua",562,100,1.70,8.90,39,0,0.10,2.20,4.70,0.20,14.00,1,12,176,0.13,38,0.05,0.20,0.40,0,0.04,0,0.14,0,0,0,88.9
"Abobora, pescoço, crua",563,100,0.70,6.10,24,0,0.10,2.30,2.10,0.30,9,1,7.00,264,0.07,32,0.09,0.20,0.60,0,0,0,0.06,0,0,0,92.5
"Tangerina, Poncã, suco",564,100,0.50,8.80,36,0,0,0,41.80,0,4,0,6,119,0.02,9,0.02,0,0.30,0,0.06,0,0.03,0,51,51,90.4
"Bebida láctea, pêssego",565,100,2.10,7.60,55.00,5,1.90,0.30,2.10,0,89,46,9,62,0,63,0.02,0.20,0.70,0,0.03,0.14,0,0.33,0,0,87.7
"Leite, de vaca, integral, pó",566,100,25.40,39.20,497,85,26.90,0,0,0.50,890,323,77,1132,0,1242,0.11,2.70,5.80,361,0.24,1.03,0,0,0,0,2.7
"Sardinha, inteira, crua",567,100,21.10,0,114.00,61,2.70,0,0,1.30,167,60,29.00,312,0.10,294,0.13,1.30,1.60,0,0,0.07,0,7.70,0,0,76.6
"Banana, da terra, crua",568,100,1.40,33.70,128,0,0.20,1.50,15.70,0.30,4,0,24,328,0.16,26,0.05,0.20,0.80,0,0.03,0.02,0.14,0,239,239,63.9
"Corvina grande, cozida",569,100,23.40,0,100,123,2.60,0,0,0.60,69,68,22,194,0.02,164,0.03,0.70,0.90,6,0,0.03,0,0.77,6,6,73.6
"Ameixa, em calda, enlatada, drenada",570,100,1,47.70,177,0,0.30,4.50,5.20,2.70,39,3,14.00,263,0.20,26,0.16,0.20,0.70,0,0,0.22,0.08,0,0,0,50.3
"Corvina de água doce, crua",571,100,18.90,0,101,73,2.20,0,0,0.30,39,45,25,293,0.02,154,0.02,0.40,1,8,0,0.08,0,0,8,8,79.2
"Tremoço, em conserva",572,100,11.10,12.40,121,0,3.80,14.40,0,0.30,16,1809,4,5,0,40,0.27,0.60,5,0,0,0,0,0,0,0,67.7
"Biscoito, polvilho doce",573,100,1.30,80.50,438,9,12.20,1.20,0,1.80,30,98,6,54,0.08,23,0.04,0.10,0.50,0,0,0.03,0.07,0,0,0,5.4
Sarapatel,574,100,18.50,1.10,123,315,4.40,0,0,7.20,12,216,13,199,0.10,164,1.48,1.80,1.10,1464,0,0.11,0,3.84,0,0,75.0
"Coco, cru",575,100,3.70,10.40,406.00,0,42,5.40,2.50,1.80,6,15,51,354,1,118,0.45,0.90,1,0,0,0,0.03,0,0,0,43.0
Mortadela,576,100,12,5.80,269,83,21.60,0,0,1.50,67,1212,19,247.00,0.11,216,0.08,1,4.10,25,0.14,0.06,0,3,0,0,56.4
Quindim,577,100,4.70,46.30,411.00,271,24.40,3.20,0,1.40,37,27,15,111.00,0.25,168,0.10,1.10,0.60,76,0,0.04,0.04,1.14,0,0,23.9
"Bolo, pronto, aipim",578,100,4.40,47.90,324,73,12.70,0.70,0,0.50,85,111.00,10,135,0.11,122,0.05,0.40,0.80,0,0.13,0.07,0,0,0,0,34.1
"Chocolate, meio amargo",579,100,4.90,62.40,475,2,29.90,4.90,2.10,3.60,45,9,107,432,0.83,220.00,0.77,1.50,1.80,0,0.20,0.04,0,1.06,0,0,1.0
