nome;id;base;Calorias;Proteína;Carboidrato;Energia;Colesterol;Lipídeos;Fibra Alimentar;Vitamina C;Ferro;Cálcio;Sódio;Magnésio;Potássio;Manganês;Fósforo;Cobre;Zinco;Retinol;Tiamina;Riboflavina;Piridoxina;Niacina;RE;RAE;Umidade
Figo, cru;421;100;41;1;10,2;173.0;0;0,2;1,8;0,8;0,2;27;0;11;174;0,06;15;0,13;0,1;0;0,05;0;0;0;0;0;88,2
Figo, enlatado, em calda;102;100;184;0,6;50,3;771.0;0;0,2;2;5,2;0,5;33;7;7;39;0,16;6;0,25;0,1;0;0;0;0;0;0;0;48,8
Frango, asa, com pele, crua;475;100;213;18,1;0;892.0;113;15,1;0;0;0,6;11;96;23;211;0,01;155;0,02;1,2;10;0,11;0,04;0;2,58;10;10;67,5
Frango, caipira, inteiro, com pele, cozido;548;100;243;23,9;0;1016.0;110;15,6;0;0;1,7;17;56;18;210;0,01;162;0,08;1,7;16;0,03;0;0;6,33;16;16;59,7
Frango, caipira, inteiro, sem pele, cozido;486;100;196;29,6;0;819.0;106;7,7;0;0;2,1;66;53;23;224;0,02;210;0,15;2,7;6;0,03;0,03;0;9,2;6;6;61,4
Frango, com açafrão;201;100;113;9,7;4,1;472.0;50;6,2;0,2;5,3;0,8;13;29;16;256;0,09;167;0,02;0,5;8;0,03;0;0;1,64;0;0;79,5
Frango, coração, cru;25;100;222;12,6;0;927.0;159;18,6;0;0;4,1;6;95;20;220;0,05;193;0,2;2;9;0,23;0,35;0;3,39;9;9;69,1
Frango, coração, grelhado;431;100;207;22,4;0,6;867.0;280;12,1;0;0;6,5;8;128;20;243;0,06;276;0,3;3,4;0;0,2;0,19;0;9,7;0;0;63,5
Frango, coxa, com pele, assada;503;100;215;28,5;0,1;900.0;145;10,4;0;0;1,2;8;95;14;318;0;251;0,05;2,6;6;0,05;0,05;0;10,4;6;6;59,8
Frango, coxa, com pele, crua;132;100;161;17,1;0;676.0;97;9,8;0;0;0,7;8;95;26;275;0,02;185;0,03;2;10;0,16;0,05;0;2,04;10;10;72,9
Frango, coxa, sem pele, cozida;476;100;167;26,9;0;701.0;133;5,8;0;0;0,8;12;64;11;191;0;187;0,03;2,8;0;0,07;0;0;8,2;0;0;66,7
Frango, coxa, sem pele, crua;265;100;120;17,8;0;502.0;91;4,9;0;0;0,8;8;98;27;291;0,02;196;0,03;2,2;12;0,17;0,05;0;3,53;12;12;76,4
Frango, filé, à milanesa;153;100;221;28,5;7,5;924.0;84;7,8;1,1;0;1,1;9;122;35;408;0,06;249;0,05;0,8;7;0,05;0,04;0,52;11,07;7;7;54,9
Frango, fígado, cru;68;100;106;17,6;0;446.0;341;3,5;0;0;9,5;6;82;28;281;0,35;344;0,26;3,7;3863;0,62;0,56;0;6,36;3863;3863;77,8
Frango, inteiro, com pele, cru;467;100;226;16,4;0;947.0;85;17,3;0;0;0,6;6;63;24;217;0,01;174;0,04;1,1;7;0,08;0,03;0;3,28;7;7;66,5
Frango, inteiro, sem pele, assado;217;100;187;28;0;784.0;111;7,5;0;0;0,6;9;70;14;283;0;233;0,03;1,6;0;0,09;0;0;11,2;0;0;63,2
Frango, inteiro, sem pele, cozido;119;100;170;25;0;713.0;99;7,1;0;0;0,5;8;51;12;217;0;194;0,04;1,2;0;0,1;0;0;12,83;0;0;67,5
Frango, inteiro, sem pele, cru;373;100;129;20,6;0;540.0;78;4,6;0;0;0,5;7;73;27;238;0,01;190;0,03;1,2;4;0,12;0,03;0;3,28;4;4;74,9
Frango, peito, com pele, assado;559;100;212;33,4;0;886.0;109;7,6;0;0;0,5;8;56;18;380;0,01;297;0,01;1;6;0,12;0;0;15,8;6;6;58,5
Frango, peito, com pele, cru;236;100;149;20,8;0;625.0;80;6,7;0;0;0,4;8;62;28;252;0,01;213;0,05;0,6;4;0,09;0;0;2,58;4;4;71,9
Frango, peito, sem pele, cozido;76;100;163;31,5;0;681.0;89;3,2;0;0;0,3;6;36;14;231;0;224;0,02;0,9;0;0,1;0;0;7,6;0;0;65,6
Frango, peito, sem pele, cru;243;100;119;21,5;0;499.0;59;3;0;0;0,4;7;56;31;267;0,01;222;0,03;0,7;2;0,1;0;0;5,86;2;2;74,8
Frango, peito, sem pele, grelhado;118;100;159;32;0;666.0;89;2,5;0;0;0,3;5;50;18;387;0;295;0,02;0,8;0;0,11;0;0;24,83;0;0;63,8
Frango, sobrecoxa, com pele, assada;370;100;260;28,7;0;1086.0;158;15,2;0;0;1,2;11;96;15;323;0;252;0,06;2,2;8;0,1;0,05;0;11,2;8;8;55
Frango, sobrecoxa, com pele, crua;2;100;255;15,5;0;1065.0;88;20,9;0;0;0,7;7;68;22;190;0,01;154;0,05;1,3;7;0,09;0,06;0;3,4;7;7;63,6
Frango, sobrecoxa, sem pele, assada;279;100;233;29,2;0;974.0;145;12;0;0;1,2;12;106;17;382;0;281;0,07;2,2;11;0,1;0,05;0;10,2;11;11;55,6
Frango, sobrecoxa, sem pele, crua;120;100;162;17,6;0;677.0;84;9,6;0;0;0,9;6;80;26;241;0,02;187;0,06;1,7;4;0,12;0,06;0;4,06;4;4;72,7
Fruta-pão, crua;275;100;67;1,1;17,2;281.0;0;0,2;5,5;9,9;0,2;34;1;24;188;0,04;27;0,07;0,1;0;0,03;0;0;0;0;0;80,9
Fécula, de mandioca;340;100;331;0,5;81,1;1384.0;0;0,3;0,6;0;0,1;12;2;3;48;0;60;0;0;0;0,03;0;0;0;0;0;17,8
Gelatina, sabores variados, pó;138;100;380;8,9;89,2;1591.0;0;0;0;40;0,3;27;235;2;7;0,03;2;0;0;0;0;0;0;0;0;0;1,2
Gergelim, semente;477;100;584;21,2;21,6;2442.0;0;50,4;11,9;0;5,4;825;3;361;546;2,67;741;1,51;5,2;0;0,94;0;0,13;5,92;0;0;3,9
Glicose de milho;23;100;292;0;79,4;1222.0;0;0;0;0;0,1;6;59;2;5;0;5;0;0;0;0;0;0;0;0;0;20,4
Goiaba, branca, com casca, crua;231;100;52;0,9;12,4;216.0;0;0,5;6,3;99,2;0,2;5;0;7;220;0,07;16;0,04;0,2;0;0;0;0,03;0;0;0;85,7
Goiaba, doce em pasta;424;100;269;0,6;74,1;1125.0;0;0;3,7;23,1;0,4;10;4;6;165;0,11;54;0,06;0,1;0;0,07;0;0;0;136;136;24,8
Goiaba, doce, cascão;322;100;286;0,4;78,7;1195.0;0;0,1;4,4;34,3;0,4;15;11;10;251;0,16;28;0,08;0,1;0;0;0;0;1,41;50;50;20,3
Goiaba, vermelha, com casca, crua;108;100;54;1,1;13;227.0;0;0,4;6,2;80,6;0,2;4;0;7;198;0,09;15;0,04;0,1;0;0;0;0,03;0;38;38;85
Graviola, crua;6;100;62;0,8;15,8;258.0;0;0,2;1,9;19,1;0,2;40;4;23;250;0,08;19;0,04;0,1;0;0,17;0,12;0,03;0;0;0;82,2
Graviola, polpa, congelada;534;100;38;0,6;9,8;160.0;0;0,1;1,2;10,5;0,1;6;3;10;170;0,06;17;0,06;0,1;0;0;0,09;0;0;0;0;89,2
Grão-de-bico, cru;557;100;355;21,2;57,9;1484.0;0;5,4;12,4;0;5,4;114;5;146;1116;3,16;342;0,67;3,2;0;0,52;0;0,75;0;0;0;12,3
Guandu, cru;115;100;344;19;64;1440.0;0;2,1;21,3;1,5;1,9;129;2;166;1215;1,02;269;0,57;2;0;1,06;0;0,07;2,69;0;0;11,4
Hambúrguer, bovino, cru;189;100;215;13,2;4,2;899.0;70;16,2;0;0;1,9;34;869;25;383;0,36;141;0,16;1,7;0;0,06;0,08;0,04;3,53;0;0;63,6
Hambúrguer, bovino, frito;177;100;258;20;6,3;1081.0;49;17;0;0;3;62;1252;60;660;0,52;324;0,17;3,2;0;0,13;0,06;0;2,73;0;0;52,5
Hambúrguer, bovino, grelhado;465;100;210;13,2;11,3;878.0;59;12,4;0;0;2,6;56;1090;48;538;0,4;263;0,18;3;0;0,18;0,06;0;5,77;0;0;59,2
Inhame, cru;295;100;97;2,1;23,2;405.0;0;0,2;1,7;5,6;0,4;12;0;29;568;0,15;65;0,17;0,3;0;0,08;0;0,11;0;0;0;73,3
Iogurte, natural;518;100;51;4,1;1,9;215.0;14;3;0;0,9;0;143;52;11;71;0;119;0,02;0,4;23;0,04;0,22;0;0;0;0;90
Iogurte, natural, desnatado;401;100;41;3,8;5,8;174.0;3;0,3;0;0,3;0;157;60;12;182;0;110;0;0,5;0;0;0,22;0;0;0;0;89,2
Iogurte, sabor morango;408;100;70;2,7;9,7;291.0;7;2,3;0,2;0;0;101;38;8;52;0;73;0,02;0,3;27;0,03;0,12;0,02;0;0;0;84,6
Iogurte, sabor pêssego;393;100;68;2,5;9,4;284.0;8;2,3;0,7;0;0,1;95;37;8;52;0;66;0,02;0,3;21;0,02;0,1;0;0,38;0;0;85,1
Jabuticaba, crua;103;100;58;0,6;15,3;243.0;0;0,1;2,3;16,2;0,1;8;0;18;130;0,3;15;0,07;0,3;0;0,06;0;0;0;0;0;83,6
Jaca, crua;156;100;88;1,4;22,5;368.0;0;0,3;2,4;14,8;0,4;11;2;40;234;0,48;14;0,09;0,2;0;0,1;0,04;0,05;0;0;0;75,1
Jambo, cru;360;100;27;0,9;6,5;113.0;0;0,1;5,1;3,8;0,1;14;22;14;135;0,05;18;0,02;0,1;0;0,08;0;0;1,18;0;0;92,1
Jamelão, cru;407;100;41;0,5;10,6;172.0;0;0,1;1,8;27,1;0;3;1;2;394;0;4;0,03;0;0;0,17;0;0,12;0;8;8;87,7
Jiló, cru;70;100;27;1,4;6,2;114.0;0;0,2;4,8;6,8;0,3;20;0;21;213;0,14;29;0,07;0,1;0;0,07;0,04;0;0;13;13;91,6
Jurubeba, crua;539;100;126;4,4;23,1;526.0;0;3,9;23,9;13,8;0,9;151;1;65;619;0,52;155;1,16;0,6;0;0,13;0,02;0,2;0;0;0;66,6
Kiwi, cru;438;100;51;1,3;11,5;214.0;0;0,6;2,7;70,8;0,3;24;0;11;269;0,05;33;0,15;0,1;0;0;0;0,06;0;5;5;85,9
Lambari, congelado, cru;346;100;131;16,8;0;547.0;159;6,5;0;0;0,9;1181;48;45;244;0,28;696;0,09;3,3;4;0,05;0;0;3,3;4;4;71,9
Lambari, congelado, frito;158;100;327;28,4;0;1368.0;246;22,8;0;0;0,8;1881;65;66;331;0,34;1067;0,31;5,6;9;0,25;0,03;0,04;8,93;9;9;40,1
Lambari, fresco, cru;381;100;152;15,7;0;634.0;144;9,4;0;0;0,6;590;41;32;207;0,41;441;0,05;2,4;0;0;0,03;0,07;1,86;0;0;72,2
Laranja, baía, crua;480;100;45;1;11,5;190.0;0;0,1;1,1;56,9;0,1;35;0;9;174;0,04;24;0,04;0,1;0;0,06;0,02;0;0;4;4;87,1
Laranja, baía, suco;326;100;37;0,7;8,7;153.0;0;0;0;94,5;0,1;6;0;8;173;0,02;22;0,02;0;0;0,03;0;0,02;0;4;4;90,2
Laranja, da terra, crua;395;100;51;1,1;12,9;215.0;0;0,2;4;34,7;0,1;51;1;14;173;0,04;20;0,04;0,2;0;0,07;0,09;0,03;0;0;0;85,4
Laranja, da terra, suco;369;100;41;0,7;9,6;171.0;0;0,1;1;44,3;0,1;13;0;10;145;0,02;15;0,02;0,1;0;0,04;0;0,04;0;4;4;89,2
Laranja, lima, crua;298;100;46;1,1;11,5;191.0;0;0,1;1,8;43,5;0,1;31;1;10;130;0,05;15;0,03;0,1;0;0,09;0,05;0,04;0;0;0;87
Laranja, lima, suco;342;100;39;0,7;9,2;165.0;0;0,1;0,4;41,3;0;8;0;11;129;0,02;16;0,02;0;0;0,1;0,03;0,04;0;0;0;89,7
Laranja, pêra, crua;99;100;37;1;8,9;154.0;0;0,1;0,8;53,7;0,1;22;0;9;163;0,05;23;0,03;0,1;0;0,07;0,02;0,02;0;1;1;89,6
Laranja, pêra, suco;205;100;33;0,7;7,6;137.0;0;0,1;0;73,3;0;7;0;8;149;0,03;14;0,01;0;0;0;0;0;0;1;1;91,3
Laranja, valência, crua;282;100;46;0,8;11,7;193.0;0;0,2;1,7;47,8;0,1;34;1;14;158;0,06;20;0,04;0,1;0;0,07;0,04;0,03;0;0;0;86,9
Laranja, valência, suco;321;100;36;0,5;8,6;151.0;0;0,1;0,4;0;0;9;0;10;143;0,03;17;0,02;0;0;0;0;0,03;0;2;2;90,5
Lasanha, massa fresca, cozida;12;100;164;5,8;32,5;685.0;0;1,2;1,6;0;1,2;10;207;4;54;0,2;42;0,07;0,4;0;0,04;0;0;3,96;0;0;59,6
Lasanha, massa fresca, crua;439;100;220;7;45,1;922.0;0;1,3;1,6;0;1,9;17;667;13;137;0,34;82;0,1;0,8;0;0,08;0;0;0;0;0;45
Leite, condensado;157;100;313;7,7;57;1308.0;28;6,7;0;2,1;0,1;246;94;22;329;0;187;0,03;0,9;53;0,06;0,33;0,57;0;0;0;27
Leite, de cabra;22;100;66;3,1;5,2;278.0;14;3,8;0;0;0,1;112;74;10;140;0;113;0,04;0,4;35;0;0,14;0;0;0;0;87,1
Leite, de coco;309;100;166;1;2,2;695.0;0;18,4;0,7;0;0,5;6;44;17;144;0,24;26;0,16;0,3;0;0;0;0;0;0;0;78
Leite, de vaca, achocolatado;516;100;83;2,1;14,2;347.0;6;2,2;0,6;3,3;0,5;70;72;13;155;0,05;71;0,04;0,3;39;0,07;0,29;0,14;1,23;0;0;80,9
Leite, de vaca, desnatado, pó;352;100;362;34,7;53;1513.0;25;0,9;0;0;0,9;1363;432;109;1556;0;1673;0,16;3,8;299;0,32;1,2;0;0,81;0;0;3,1
Leite, de vaca, integral, pó;566;100;497;25,4;39,2;2078.0;85;26,9;0;0;0,5;890;323;77;1132;0;1242;0,11;2,7;361;0,24;1,03;0;0;0;0;2,7
Leite, fermentado;376;100;70;1,9;15,7;291.0;2;0,1;0;0,5;0;72;33;6;94;0,02;63;0,01;0,3;0;0,08;0,11;0;0;0;0;81,9
Lentilha, cozida;388;100;93;6,3;16,3;388.0;0;0,5;7,9;0;1,5;16;1;22;220;0,29;104;0,17;1,1;0;0,03;0;0;0;0;0;76,3
Lentilha, crua;187;100;339;23,2;62;1419.0;0;0,8;16,9;0;7;54;0;94;887;1,08;368;0,83;3,5;0;0,11;0;0,42;5,07;0;0;11,5
Limão, cravo, suco;223;100;14;0,3;5,2;59.0;0;0;0;32,8;0,1;10;0;9;120;0,03;11;0,03;0;0;0;0;0;0;31;31;94,2
Limão, galego, suco;268;100;22;0,6;7,3;93.0;0;0,1;0;34,5;0,1;5;0;6;113;0,01;13;0,02;0,1;0;0;0;0,03;0;0;0;91,8
Limão, tahiti, cru;164;100;32;0,9;11,1;133.0;0;0,1;1,2;38,2;0,2;51;1;10;128;0,07;24;0,06;0,2;0;0,3;0,04;0;0;0;0;87,4
Lingüiça, frango, crua;362;100;218;14,2;0;913.0;64;17,4;0;0;0,5;11;1126;19;280;0,05;182;0,05;0,7;0;0,11;0,05;0;4,6;0;0;64,8
Lingüiça, frango, frita;211;100;245;18,3;0;1027.0;76;18,5;0;0;0,8;15;1374;29;364;0,1;262;0,04;1,2;0;0,11;0,05;0;5,67;0;0;59,6
Lingüiça, frango, grelhada;182;100;244;18,2;0;1019.0;80;18,4;0;0;0,7;14;1351;21;356;0,1;228;0,09;1;0;0,12;0,04;0;5,97;0;0;58,6
Lingüiça, porco, crua;495;100;227;16,1;0;951.0;53;17,6;0;0;0,4;6;1176;14;316;0,01;157;0,04;1,4;0;0,49;0,05;0;2,6;0;0;62,5
Lingüiça, porco, frita;260;100;280;20,5;0;1170.0;75;21,3;0;0;0,9;8;1432;18;409;0,01;211;0,06;3,1;0;0,41;0,07;0;5,83;0;0;54,6
Lingüiça, porco, grelhada;555;100;296;23,2;0;1241.0;82;21,9;0;0;1;8;1456;19;427;0,01;210;0,07;3,5;0;0,4;0,07;0;6,6;0;0;50,5
Linhaça, semente;429;100;495;14,1;43,3;2072.0;0;32,3;33,5;0;4,7;211;9;347;869;2,81;615;1,09;4,4;0;0,12;0;0,13;0;0;0;6,7
Macarrão, instantâneo;538;100;436;8,8;62,4;1824.0;0;17,2;5,6;0;0,8;18;1516;19;148;0,25;112;0,1;0,5;0;1,18;0,04;0,53;9,37;0;0;6
Macarrão, molho bolognesa;400;100;120;4,9;22,5;500.0;7;0,9;0,8;0;1,4;11;9;10;84;0,22;54;0,09;0,8;0;0,04;0;0;1,44;0;0;71,4
Macarrão, trigo, cru;522;100;371;10;77,9;1553.0;0;1,3;2,9;0;0,9;17;7;28;147;0,53;100;0,15;0,8;0;0,18;0,02;0;3,57;0;0;10,2
Macarrão, trigo, cru, com ovos;463;100;371;10,3;76,6;1550.0;18;2;2,3;0;0,9;19;15;0;134;0,4;118;0,14;0,8;0;0,11;0,05;0,03;4,37;0;0;10,6
Macaúba, crua;405;100;404;2,1;13,9;1692.0;0;40,7;13,4;13,4;0,8;67;1;66;306;0,08;44;0,35;0,7;0;0,11;0,11;0,03;0;1020;1020;41,5
Maionese, tradicional com ovos;94;100;302;0,6;7,9;1264.0;42;30,5;0;0;0,1;3;787;1;16;0;14;0;0,1;8;0;0,05;0;0;0;0;58,4
Mamão verde, doce em calda, drenado;165;100;209;0,3;57,6;876.0;0;0,1;1,2;0;0,2;12;5;5;9;0,04;3;0,02;0;0;0;0;0;0;0;0;41,9
Mamão, Formosa, cru;21;100;45;0,8;11,6;190.0;0;0,1;1,8;78,5;0,2;25;3;17;222;0,04;11;1,36;0,1;0;0,03;0,03;0;0;148;148;86,9
Mamão, Papaia, cru;154;100;40;0,5;10,4;168.0;0;0,1;1;82,2;0,2;22;2;22;126;0,01;11;0,02;0,1;0;0,03;0,04;0;1,03;118;118;88,6
Mamão, doce em calda, drenado;169;100;196;0,2;54;819.0;0;0,1;1,3;3,9;0,1;20;3;6;68;0,02;4;0,02;0,1;0;0,03;0;0;0;0;0;45,5
Mandioca, cozida;485;100;125;0,6;30,1;524.0;0;0,3;1,6;11,1;0,1;19;1;27;100;0,06;22;0,01;0,2;0;0,06;0;0,03;0;0;0;68,7
Mandioca, crua;448;100;151;1,1;36,2;634.0;0;0,3;1,9;16,5;0,3;15;2;44;208;0,05;29;0,07;0,2;0;0;0;0,04;0;0;0;61,8
Mandioca, farofa, temperada;399;100;406;2,1;80,3;1697.0;0;9,1;7,8;0;1,4;66;575;34;201;0,29;45;0;0,2;0;0,1;0;0,15;0;0;0;6,4
Mandioca, frita;107;100;300;1,4;50,3;1255.0;0;11,2;1,9;0;0,3;23;9;95;176;0,18;57;0,12;0,4;0;0,05;0;0,04;0;0;0;36,6
Manga, Haden, crua;553;100;64;0,4;16,7;266.0;0;0,3;1,6;17,4;0,1;12;1;8;148;0,17;9;0,1;0,1;0;0,02;0,06;0,05;0;162;162;82,3
Manga, Palmer, crua;541;100;72;0,4;19,4;303.0;0;0,2;1,6;65,5;0,1;12;2;9;157;0,05;14;0,09;0,1;0;0,09;0,03;0;0;787;787;79,7
Manga, Tommy Atkins, crua;414;100;51;0,9;12,8;212.0;0;0,2;2,1;7,9;0,1;8;0;7;138;0,34;14;0,06;0,1;0;0;0,04;0,03;0;118;118;85,8
Manga, polpa, congelada;377;100;48;0,4;12,5;202.0;0;0,2;1,1;24,9;0,1;7;7;9;131;0,12;9;0,06;0,1;0;0;0,07;0,03;0;0;0;86,5
Maniçoba;228;100;134;10;3,4;562.0;43;8,7;2,2;0;3,2;66;407;24;148;0,6;55;0,16;2;0;0,04;0,07;0,05;2,58;222;222;76,4
Manjericão, cru;229;100;21;2;3,6;88.0;0;0,4;3,3;2,3;1;211;4;58;252;0,17;40;0,16;0,5;0;0,06;0,21;0,06;0,9;1035;1035;93
Manjuba, com farinha de trigo, frita;233;100;344;23,5;10,2;1437.0;282;22,6;0,4;0;3;763;37;47;319;0,36;578;0,15;3,8;30;0,05;0,07;0;0,79;30;30;41,3
Manjuba, frita;509;100;349;30,1;0;1462.0;270;24,5;0;0;0,9;575;41;32;318;0,21;735;0,14;3,2;12;0,03;0,03;0;7,27;12;12;40,7
Manteiga, com sal;398;100;726;0,4;0,1;3037.0;201;82,4;0;0;0,2;9;579;1;15;0;28;0;0;924;0;0;0;0;0;0;15,8
Manteiga, sem sal;221;100;758;0,4;0;3170.0;214;86;0;0;0;4;4;1;5;0;7;0,04;0;1013;0;0;0;0;0;0;13,6
Maracujá, cru;97;100;68;2;12,3;286.0;0;2,1;1,1;19,8;0,6;5;2;28;338;0,12;51;0,19;0,4;0;0;0,05;0,05;0;114;114;82,9
Maracujá, polpa, congelada;27;100;39;0,8;9,6;162.0;0;0,2;0,5;7,3;0,3;5;8;10;228;0,07;15;0,05;0,2;0;0;0,09;0,06;0;0;0;88,9
Maracujá, suco concentrado, envasado;391;100;42;0,8;9,6;176.0;0;0,2;0,4;13,7;0,3;4;22;4;201;0,07;14;0,05;0,1;0;0;0,08;0,05;1,92;0;0;88,9
Margarina, com óleo hidrogenado, com sal (65% de lipídeos);481;100;596;0;0;2494.0;0;67,4;0;0;0,1;6;894;1;21;0;7;0;0;462;0;0;0;0;0;0;32,2
Margarina, com óleo hidrogenado, sem sal (80% de lipídeos);241;100;723;0;0;3023.0;0;81,7;0;0;0,1;3;78;1;2;0;4;0;0;534;0;0;0;0;0;0;19,6
Margarina, com óleo interesterificado, com sal (65%de lipídeos);50;100;594;0;0;2487.0;0;67,2;0;0;0;5;561;1;15;0;6;0;0;385;0;0;0;0;0;0;32
Margarina, com óleo interesterificado, sem sal (65% de lipídeos);468;100;593;0;0;2482.0;0;67,1;0;0;0,1;5;33;1;5;0;7;0;0;245;0;0;0;0;0;0;33,4
Maria mole;127;100;301;3,8;73,6;1260.0;0;0,2;0,7;0;0,4;13;15;7;24;0,06;4;0,2;0,1;0;0,04;0;0;0;0;0;21,6
Maria mole, coco queimado;556;100;307;3,9;75,1;1283.0;0;0,1;0,6;0;0,5;19;14;6;36;0,09;5;0,03;0,1;0;0,04;0;0;0;0;0;20,7
Marmelada;42;100;257;0,4;70,8;1076.0;0;0,1;4,1;0;0,7;11;11;6;83;0,06;20;0,09;0,1;0;0;0;0;0;0;0;28,5
Maxixe, cru;546;100;14;1,4;2,7;58.0;0;0,1;2,2;9,6;0,4;21;11;10;328;0,07;25;0,02;0,2;0;0,06;0,02;0,04;0;6;6;95,1
Maçã, Argentina, com casca, crua;311;100;63;0,2;16,6;262.0;0;0,2;2;1,5;0,1;3;1;5;117;0,01;11;0,03;0;0;0,05;0;0;0;0;0;82,6
Maçã, Fuji, com casca, crua;188;100;56;0,3;15,2;232.0;0;0;1,3;2,4;0,1;2;0;2;75;0,03;9;0,06;0;0;0;0;0,03;0;4;4;84,3
Mel, de abelha;348;100;309;0;84;1294.0;0;0;0;0,7;0,3;10;6;6;99;0,38;4;0;0,2;0;0,11;0;0;0;0;0;15,8
Melado;273;100;297;0;76,6;1241.0;0;0;0;0;5,4;102;4;115;395;2,62;74;0,84;0,3;0;0;0,05;0,2;0;0;0;22,1
Melancia, crua;312;100;33;0,9;8,1;136.0;0;0;0,1;6,1;0,2;8;0;10;104;0,14;12;0,04;0,1;0;0;0;0;0;61;61;90,7
Melão, cru;446;100;29;0,7;7,5;123.0;0;0;0,3;8,7;0,2;3;11;6;216;0,05;10;0,04;0,1;0;0;0;0,02;0;2;2;91,3
Merluza, filé, assado;96;100;122;26,6;0;510.0;91;0,9;0;0;0,4;36;120;20;364;0,03;273;0,03;0,9;0;0,05;0;0;7,97;0;0;70,7
Merluza, filé, cru;59;100;89;16,6;0;373.0;57;2;0;0;0,2;20;80;27;340;0,01;185;0;0,3;0;0;0;0;1,34;0;0;82,1
Merluza, filé, frito;151;100;192;26,9;0;802.0;109;8,5;0;0;0,4;36;90;38;447;0,02;279;0,03;0,6;0;0,05;0;0;0,77;0;0;63,5
Mexerica, Murcote, crua;117;100;58;0,9;14,9;241.0;0;0,1;3,1;21,8;0,1;33;1;12;159;0,05;19;0,06;0,1;0;0,08;0,07;0,05;0;0;0;83,7
Mexerica, Rio, crua;521;100;37;0,7;9,3;154.0;0;0,1;2,7;112;0,1;17;2;8;125;0,05;14;0,07;0,2;0;0,03;0;0;0;0;0;89,6
Milho, amido, cru;552;100;361;0,6;87,1;1512.0;0;0;0,7;0;0,1;1;8;3;9;0,02;13;0,02;0,1;0;0;0;0;0;0;0;12,2
Milho, fubá, cru;422;100;353;7,2;78,9;1479.0;0;1,9;4,7;0;0,9;3;0;41;168;0,34;108;0,08;1,1;0;0,25;0;0;0,75;26;26;11,5
Milho, verde, cru;456;100;138;6,6;28,6;578.0;0;0,6;3,9;0;0,4;2;1;33;185;0,12;113;0,05;0,5;0;0,3;0;0,04;0;32;32;63,5
Milho, verde, enlatado, drenado;454;100;98;3,2;17,1;408.0;0;2,4;4,6;1,7;0,6;2;260;20;162;0,09;61;0,05;0,5;0;0;0,05;0;3,74;48;48;76,2
Mingau tradicional, pó;37;100;373;0,6;89,3;1562.0;0;0,4;0,9;0;42;522;15;4;0;0;273;0;15,2;1533;3,41;0;3,11;19,39;0;0;8,1
Morango, cru;109;100;30;0,9;6,8;126.0;0;0,3;1,7;63,6;0,3;11;0;10;184;0,33;22;0,06;0,2;0;0;0,03;0,03;0;0;0;91,5
Mortadela;576;100;269;12;5,8;1125.0;83;21,6;0;0;1,5;67;1212;19;247;0,11;216;0,08;1;25;0,14;0,06;0;3;0;0;56,4
Mostarda, folha, crua;355;100;18;2,1;3,2;76.0;0;0,2;1,9;38,6;1,1;68;3;16;364;0,14;58;0,05;0,3;0;0,05;0,04;0,05;0;0;0;93,4
Nabo, cru;404;100;18;1,2;4,1;76.0;0;0,1;2,6;9,6;0,2;42;2;15;280;4,42;17;0,02;0,2;0;0,07;0;0,03;0;0;0;93,8
Nhoque, batata, cozido;246;100;181;5,9;36,8;756.0;15;1,9;1,8;0;1,6;11;7;18;164;0,3;68;0,1;0,5;15;0,08;0;0,04;0;0;0;55
Noz, crua;78;100;620;14;18,4;2594.0;0;59,4;7,2;0;2;105;5;153;533;4,05;396;0,75;2,1;0;0,38;0;0,13;1,08;0;0;6,2
Nêspera, crua;284;100;43;0,3;11,5;178.0;0;0;3;3,2;0,1;20;0;10;113;0,07;10;0,12;0,1;0;0;0;0;0;170;170;87,8
